Step,target_std: 0.0033,target_std: 0.00033,target_std: 0.33,target_std: 0.033
0.0005,70.79860738,87.97167007104001,100.2167222496,304.9379521408
0.001,82.87125847,57.466929585723,55.29688530912,86.42034706272
0.0015,89.75890991,54.578344539053994,53.89368879912,455.468670932
0.002,126.6495971,76.618348056876,59.95432813752,59.6783748616
0.0025,71.11892488,71.67981442304101,152.4430469352,149.59527689040002
0.003,122.1710218,91.87363715406,119.46320192639999,275.36280050400006
0.0035,185.2520532,207.04959302343,121.4909531232,250.09216056000002
0.004,114.6834409,99.45768276318,118.6982178096,225.01405058880002
0.0045,190.3819445,108.57053975459999,135.9721922328,217.9243717376
0.005,171.0081391,177.21273780648002,95.70622286399998,265.17938687680004
0.0055,217.0706969,247.80509445105002,123.4477845552,321.07909900880003
0.006,202.2636225,165.63780064398,123.92053630799998,250.65843291280004
0.0065,234.927251,280.95061117614,125.8083152616,249.27596638560001
0.007,240.9145441,262.95506658945,165.1044629784,334.36089216640005
0.0075,233.3787123,166.97905429497,197.42340581759998,299.2722415584
0.008,391.9150147,303.88048731909004,196.4920618272,381.06663525920004
0.0085,360.5684133,275.1533041119,262.346417196,360.20177403760005
0.009,368.5503938,249.45470282442,326.2958756352,419.4492663504
0.0095,393.2914511,206.77673476041005,239.2826224776,409.60144419040006
0.01,308.5168642,310.10891409132,368.19271800959996,356.3755749576
0.0105,354.6580566,413.02120998336,338.0311071456,171.89127142
0.011,281.5158576,267.94035534123003,366.2956741968,336.04440950080004
0.0115,351.7930876,336.50943106539,314.470695852,480.4019891088
0.012,314.6470115,291.7891717164,678.9984049392,343.97204916800007
0.0125,421.2647113,231.43936787853002,350.1157025424,360.1017362712
0.013,425.4312323,297.31372821489,174.5586876456,633.3983309016
0.0135,464.9121735,250.7203539558,360.5327466264,369.1484721232
0.014,360.4980477,334.76355368847004,319.9384918272,403.1836628512
0.0145,302.8163713,370.71593861871,247.40202277199998,454.16908379040007
0.015,511.6944133,342.1103963671201,333.9354993864,352.6592280024
0.0155,409.7978864,521.88123018516,375.7262867664,612.0753355112
0.016,483.2070176,196.61198459973,302.1514873032,348.4761625576
0.0165,284.5270619,288.90831513624005,263.2217550264,276.68128920080005
0.017,477.9280463,367.36514101374,336.3371615424,385.4546680248
0.0175,454.0667937,161.57263758306007,345.9243033816,335.78101428080004
0.018,310.2890256,246.52060611198,382.4196755664,638.9899277256001
0.0185,558.7798267,288.7501852239,543.250044384,381.99706098400003
0.019,444.7624654,442.397610123,267.04099285440003,534.5259679672
0.0195,395.5846908,326.30870581029,269.8254948984,395.51759846720006
0.02,395.3533892,287.60815259433,484.51023294960004,508.58493062080004
0.0205,382.5929269,507.82012774608,425.29351632,790.8116230080001
0.021,688.4976085,292.22233407969,256.64877511919997,542.962379916
0.0215,422.1075102,288.85083388722,224.8529632032,385.4991023224
