Step,target_std: 0.033,target_std: 0.0033,target_std: 0.00033,target_std: 0.33
0.0005,-550.9878379,-105.766232,-178.628322488,-672.7489338
0.001,-355.2168591,-107.07090085137125,-43.73879832732308,-196.6785165
0.0015,-403.6386571,-93.6126550367893,-30.571999257664213,-164.38115625
0.002,-459.9740505,11.609940969143812,-8.801097381569232,-405.9231756
0.0025,-144.3645774,106.83938176989966,-20.662160843505017,-305.62259025
0.003,-210.353934,188.98912292474915,31.668571091839464,-17.321395455
0.0035,311.1962203,274.0806324082943,-4.512066408512642,221.27519385
0.004,663.5093248,397.546551015184,-57.093177438684954,331.99911525
0.0045,826.242564,486.3864770742475,155.7218281079064,668.7091501499999
0.005,952.8317917,556.0726341973244,183.2328097993311,671.65092405
0.0055,1131.201782,600.1608910608695,272.41134011472906,1036.67658165
0.006,1168.451009,622.8985217799332,414.75573403309704,1065.79076505
0.0065,1122.076309,686.3886366862877,118.29375066595318,1351.76792265
0.007,1222.429144,704.1562729478261,274.60087678678264,1045.0803687
0.0075,1140.748897,616.9544784481607,88.74068235986623,1404.3138564
0.008,1125.754434,782.478522167893,65.37221209123746,1354.10394195
0.0085,1220.30248,862.9471544013378,447.9049203119732,1491.22610505
0.009,1282.429098,832.2705400086957,77.6638509016321,1451.6568417
0.0095,1275.542648,824.9521419558529,393.8249247860869,1353.7784119500002
0.01,1383.012795,717.8450449063546,318.7647563682943,1505.5152675
0.0105,1399.514268,796.9150925123746,503.2808300054582,1771.4621969999998
0.011,1460.294412,1092.5287817438127,292.3072571950368,1773.7849095
0.0115,1467.96916,1239.3407906247492,193.929725600107,1863.4475265
0.012,1486.458594,1231.9939892615387,117.19744108799999,1844.080659
0.0125,1489.007652,1315.7073519799333,706.8204685511706,1973.9438655
0.013,1483.363741,206.1048660058863,466.9121721482943,1977.4289385
0.0135,1504.22747,1573.0901435826088,149.1721469182609,2074.606299
0.014,1540.608739,1214.1118355692308,597.9177137357191,2089.6038075
0.0145,1540.21245,800.1938722314381,697.5299581262875,2115.0808665
0.015,1534.37089,560.4242014749165,276.9111024615384,2053.1434215
0.0155,1518.280884,681.1408254608696,-26.072521122204684,2169.0412515
0.016,1576.546902,1210.2807177859531,-26.966386318944483,2180.6974935
0.0165,1575.508983,246.16044031705684,-208.03870942362542,2247.75522
0.017,1548.377781,1193.8176981986621,374.9045500998796,2276.808495
0.0175,1795.786213,410.74297829431436,788.956507652174,2182.375281
0.018,1576.916865,479.1973618314382,757.0320086655519,2210.35407
0.0185,2336.55929,1595.7282688428095,839.1879294849499,2233.0338615
0.019,2506.906743,373.02016204307694,836.6749843490298,2220.884283
0.0195,2252.190915,934.9324959464883,831.4237670485619,2233.465206
0.02,2235.603277,866.2398403043479,929.3108741304347,2318.613018
0.0205,1699.766114,706.8028274608696,735.0153042381271,2366.9221500000003
0.021,1800.522709,951.1963528916389,167.74185683343146,2257.2395175
0.0215,2691.734171,634.1587939933111,329.8688180798394,2378.802444
0.022,2791.611352,685.3658022020066,283.5548323359465,2374.2071085
0.0225,2835.099505,958.3081992374582,811.7059195491638,2364.100047
0.023,2851.811712,1204.4939080187291,589.9083171069565,2372.0443560000003
0.0235,2861.23884,1345.9907140923078,760.3188929969231,2336.2245105
0.024,2850.018094,1166.8246649672242,-23.62067098118796,2452.4035035
0.0245,2925.7108,1023.0757449511707,1146.8521605814049,2300.041383
0.025,2918.005049,1378.935857464883,1399.0354340214049,2408.01114
0.0255,2954.574684,1417.816272149833,570.6306283557994,2419.555533
0.026,3022.849074,1707.010675562542,1494.0214242247494,2352.3431415
0.0265,2988.293236,1624.0866363652171,327.5049047443478,2501.468409
0.027,3085.048015,1519.901621116388,1668.0331668262208,2546.103255
0.0275,3076.247697,1685.941235638796,1301.9064642675587,2497.5308715
0.028,3111.805942,1814.322980989967,853.9369200117727,2373.174786
0.0285,3077.042514,2082.617475743144,1046.525931899398,2521.117332
0.029,3106.392989,1621.7820119571904,556.1349985919866,2515.827558
0.0295,3170.443707,1807.4065068923078,1970.403800049766,2544.7942305
0.03,3138.611808,1971.981141889632,2217.21484548495,2527.6781325
0.0305,3195.579622,2183.4168250167227,357.370275007893,2426.645964
0.031,3123.600871,1967.7082651585285,2015.1712187862208,2571.8044995
0.0315,3148.353479,2205.6556479250835,1990.6356964345148,2622.3844245
