SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.162359072,1823.140496,0.160067843,2455.371901,0.142240039,1458.677686,0.030381607,-270.77188,-270.77188,-270.77188,0.404309239,-95.8677686,0.341722358,3910.891089,0.292370791,-118.1818182,0.23566879,2680.965147,0.283149971,1705.093834,0.341722358,4046.034483,,,,,0.24753556,5178.947368
0.167570618,1971.900826,0.169010115,2611.570248,0.15043851,1585.123967,0.0313756,-141.99797,-141.99797,-141.99797,0.426697299,-95.8677686,0.325700671,3851.485149,0.300580979,-133.0578512,0.244354372,2820.375335,0.294730747,1812.33244,0.325700671,3997.090517,,,,,0.259843777,5229.473684
0.175022203,2105.785124,0.176461083,2752.892562,0.157147527,1674.380165,0.033363585,-69.29766,-69.29766,-69.29766,0.449084742,-88.42975207,0.392446195,3950.495049,0.314015049,-147.9338843,0.254198031,3104.557641,0.303416329,1855.227882,0.392446195,4078.663793,,,,,0.265023706,5273.684211
0.18321759,2269.421488,0.183917602,2827.272727,0.160872703,1748.760331,0.033579671,-67.85708,-67.85708,-67.85708,0.462518811,-103.3057851,0.411659793,3861.386139,0.352820402,-140.4958678,0.258830342,3324.396783,0.308048639,1882.037534,0.411659793,4005.247845,,,,,0.266969335,5261.052632
0.186940915,2366.115702,0.193603059,3020.661157,0.16906994,1890.082645,0.034660098,227.69621,227.69621,227.69621,0.482668681,-110.7438017,0.429280121,3881.188119,0.380431109,-125.6198347,0.272727273,3163.538874,0.324261726,2048.257373,0.429280121,4021.5625,,,,,0.277329877,5343.157895
0.197373258,2552.066116,0.201056494,3132.231405,0.175033921,1964.46281,0.035567656,261.7355,261.7355,261.7355,0.508786851,-95.8677686,0.467199496,4039.60396,0.399834094,-125.6198347,0.279096699,3533.512064,0.339316734,2032.171582,0.467199496,4152.079741,,,,,0.283809394,5355.789474
0.202591588,2619.008264,0.207767362,3199.173554,0.182487973,2068.595041,0.036950603,-34.982666,-34.982666,-34.982666,0.535651906,-88.42975207,0.480555504,4148.514851,0.433413717,-95.8677686,0.292993631,3533.512064,0.351476549,1844.504021,0.480555504,4241.810345,,,,,0.308421735,5494.736842
0.212280745,2767.768595,0.215223881,3273.553719,0.186957568,2165.289256,0.037166688,23.400158,23.400158,23.400158,0.555802393,-103.3057851,0.496047125,4257.425743,0.457296781,-125.6198347,0.312101911,4005.36193,0.373480023,2069.705094,0.496047125,4331.540949,,,,,0.324614388,5583.157895
0.218242877,2864.46281,0.220444061,3318.181818,0.189940175,2195.041322,0.037642076,379.22845,379.22845,379.22845,0.583415567,-118.1818182,0.512068045,4306.930693,0.473716541,-147.9338843,0.321366532,3737.265416,0.37984945,1967.828418,0.512068045,4372.327586,,,,,0.348601835,5507.368421
0.223461206,2931.404959,0.227154928,3385.123967,0.195159738,2247.107438,0.039759713,305.46896,305.46896,305.46896,0.60356297,-95.8677686,0.53289179,4326.732673,0.497592821,-95.8677686,0.33178923,4069.705094,0.39432542,2235.924933,0.53289179,4388.642241,,,,,0.35960569,5633.684211
0.228680153,2990.909091,0.231625756,3466.942149,0.201128037,2269.421488,0.04053762,54.142212,54.142212,54.142212,0.621472801,-88.42975207,0.545173856,4356.435643,0.523714074,-118.1818182,0.341632889,4182.30563,0.414591778,2246.648794,0.545173856,4413.114224,,,,,0.373857489,5690.526316
0.231662144,3028.099174,0.237586654,3578.512397,0.206348218,2314.049587,0.040624055,816.35297,816.35297,816.35297,0.652816085,-88.42975207,0.563861222,4366.336633,0.543117676,-125.6198347,0.354950782,3973.190349,0.429646786,2273.458445,0.563861222,4421.271551,,,,,0.3758038,5671.578947
0.23688109,3087.603306,0.245038855,3704.958678,0.213059085,2380.991736,0.041358745,257.2472,257.2472,257.2472,0.680429259,-103.3057851,0.584683432,4366.336633,0.56849081,-125.6198347,0.365952519,3903.485255,0.442964679,2321.715818,0.584683432,4421.271551,,,,,0.388766245,5665.263158
0.245080794,3199.173554,0.258459356,3853.719008,0.216787961,2410.743802,0.043346731,412.81613,412.81613,412.81613,0.724458493,-95.8677686,0.609251401,4475.247524,0.586401258,-125.6198347,0.372321946,4042.895442,0.45686161,2445.040214,0.609251401,4511.002155,,,,,0.402364498,5772.631579
0.253282965,3280.991736,0.26890095,3928.099174,0.222753176,2470.247934,0.044124638,439.30582,439.30582,439.30582,0.752817318,-103.3057851,0.641290173,4534.653466,0.609536203,-133.0578512,0.382744644,3855.227882,0.462651998,2520.107239,0.641290173,4559.946121,,,,,0.412081045,5816.842105
0.261487603,3333.057851,0.282328235,3995.041322,0.229463427,2544.628099,0.044816111,816.6443,816.6443,816.6443,0.783415567,-118.1818182,0.651969764,4554.455446,0.626700999,-140.4958678,0.389693109,4289.544236,0.472495657,2520.107239,0.651969764,4576.260776,,,,,0.423101272,5791.578947
0.267454669,3370.247934,0.289785987,4054.545455,0.234683607,2589.256198,0.045550802,426.63574,426.63574,426.63574,0.824460343,-118.1818182,0.674396751,4594.059406,0.651327248,-133.0578512,0.39895773,4112.600536,0.482918356,2504.021448,0.674396751,4608.890086,,,,,0.452255688,5880
0.27714691,3481.818182,0.300228198,4121.487603,0.239158135,2626.446281,0.046328709,-264.6932,-264.6932,-264.6932,0.855055508,-95.8677686,0.714977202,4643.564356,0.671475268,-118.1818182,0.405906196,4150.134048,0.489287782,2536.193029,0.714977202,4649.676724,,,,,0.464566634,5905.263158
0.283854693,3585.950413,0.30619403,4173.553719,0.251094116,2678.512397,0.04853278,561.48236,561.48236,561.48236,0.893116443,-110.7438017,0.735798645,4633.663366,0.687146293,-110.7438017,0.411117545,4466.487936,0.495657209,2348.525469,0.735798645,4641.519396,,,,,0.478182624,5848.421053
0.291311213,3660.330579,0.317381892,4247.933884,0.245122733,2693.38843,0.048921734,586.56744,586.56744,586.56744,0.922965955,-95.8677686,0.764100865,4702.970297,0.709534353,-110.7438017,0.422698321,4278.820375,0.506658946,2487.935657,0.764100865,4698.62069,,,,,0.49566736,5974.736842
0.298767115,3742.14876,0.322601456,4300,0.258554336,2708.264463,0.049008168,247.23831,247.23831,247.23831,0.94236894,-95.8677686,0.773178747,4722.772277,0.740131368,-110.7438017,0.435437174,4504.021448,0.515923567,2659.517426,0.773178747,4714.935345,,,,,0.499554525,5987.368421
0.304731713,3809.090909,0.329312323,4366.942149,0.262285679,2708.264463,0.050520766,824.8369,824.8369,824.8369,0.961771925,-95.8677686,0.810555781,4772.277227,0.766253238,-140.4958678,0.451650261,4589.812332,0.527504343,2530.831099,0.810555781,4755.721983,,,,,0.550754852,5974.736842
0.307713087,3853.719008,0.336770075,4426.446281,0.267507709,2730.578512,0.051514759,398.21664,398.21664,398.21664,0.98714691,-118.1818182,0.831381059,4811.881187,0.794609597,-118.1818182,0.463810075,4627.345845,0.555877244,2557.640751,0.831381059,4788.351293,,,,,0.552051711,5968.421053
0.315170223,3920.661157,0.344232145,4433.884298,0.270492167,2738.016529,0.052508751,386.57327,386.57327,386.57327,0.994610213,-125.6198347,0.847399678,4931.683168,0.819238313,-140.4958678,0.471916618,4568.364611,0.573248408,2680.965147,0.847399678,4804.665949,,,,,0.574725927,6050.526316
0.322627359,3987.603306,0.350199211,4471.07438,0.274967929,2760.330579,0.052595186,494.17905,494.17905,494.17905,,,0.874628723,5131.683168,0.83714876,-140.4958678,0.480023162,4648.793566,0.58193399,2938.337802,0.874628723,4804.665949,,,,,0.592863526,6132.631579
0.329338226,4054.545455,0.362130875,4575.206612,0.28168188,2790.082645,0.052897705,288.13776,288.13776,288.13776,,,0.883171168,5231.683168,0.864014432,-140.4958678,0.488708743,4466.487936,0.587145339,2659.517426,0.883171168,4804.665949,,,,,0.601941536,6088.421053
0.336794745,4128.92562,0.37331812,4657.024793,0.285411373,2812.396694,0.055706815,276.1594,276.1594,276.1594,,,0.915738474,5321.782178,0.882668681,-110.7438017,0.498552403,4857.908847,0.599305153,2831.099196,0.915738474,4796.508621,,,,,0.623327762,6094.736842
0.347236956,4195.867769,0.388981127,4761.157025,0.289141483,2827.272727,0.05860236,882.40375,882.40375,882.40375,,,0.92802054,5351.485149,0.893863328,-118.1818182,0.510133179,4927.613941,0.609727852,2906.16622,0.92802054,4820.980604,,,,,0.648601153,6113.684211
0.350967065,4210.743802,0.395693845,4805.785124,0.29734427,2901.652893,0.059120965,665.389,665.389,665.389,,,0.946708673,5371.287129,0.914757617,-103.3057851,0.520555877,4991.957105,0.625940938,3147.453083,0.946708673,4837.295259,,,,,0.69073234,6063.157895
0.358427285,4240.495868,0.406143456,4783.471074,0.300326878,2931.404959,0.059509918,650.6352,650.6352,650.6352,,,0.954719517,5390.990099,0.937144443,-88.42975207,0.527504343,4890.080429,0.643312102,3077.747989,0.954719517,4861.767241,,,,,0.710813521,6151.578947
0.366633773,4270.247934,0.41136672,4790.909091,0.305545825,2990.909091,0.061584338,493.3962,493.3962,493.3962,,,0.961126351,5400.990099,0.959534353,-110.7438017,0.529820498,4847.184987,0.657209033,3238.605898,0.961126351,4861.767241,,,,,0.730248661,6221.052632
0.371110152,4285.123967,0.419575675,4790.909091,0.310766005,3035.53719,0.062924068,988.10443,988.10443,988.10443,,,0.984621144,5440.594059,0.973713458,-110.7438017,0.550086856,4997.319035,0.667052693,3168.900804,0.984621144,4894.396551,,,,,0.774959239,6290.526316
0.374841495,4285.123967,0.432261009,4805.785124,0.318968792,3109.917355,0.065517092,910.20593,910.20593,910.20593,,,0.988359231,5450.495049,0.982668065,-103.3057851,0.558193399,4825.737265,0.673422119,3335.120643,0.988359231,4902.553879,,,,,0.805413241,6347.368421
0.38827063,4329.752066,0.438976193,4820.661157,0.321203281,3161.983471,0.066338217,482.55008,482.55008,482.55008,,,0.997439414,5530.9,0.993115209,-95.8677686,0.58193399,4975.871314,0.685581934,3356.568365,0.997439414,4943.340517,,,,,0.813190299,6347.368421
0.380812878,4270.247934,0.444943259,4857.85124,0.322695202,3169.421488,0.066511085,699.1635,699.1635,699.1635,,,,,,,0.590040533,4772.117962,0.700636943,3174.262735,,,,,,,0.82615138,6353.684211
0.392744542,4374.380165,0.450910324,4895.041322,0.331647342,3206.61157,0.066986473,1561.4745,1561.4745,1561.4745,,,,,,,0.602779386,5040.214477,0.721482339,3340.482574,,,,,,,0.839761231,6353.684211
0.400946096,4463.636364,0.462846306,4947.107438,0.336124954,3206.61157,0.067894032,293.77,293.77,293.77,,,,,,,0.622466705,5034.852547,0.731325999,3319.034853,,,,,,,0.844297165,6360
0.407658197,4515.702479,0.475528556,4999.173554,0.339855064,3221.487603,0.069925234,808.5402,808.5402,808.5402,,,,,,,0.642154024,5136.729223,0.739432542,3238.605898,,,,,,,0.861792816,6385.263158
0.41958801,4642.14876,0.484478229,5066.115702,0.342837671,3251.239669,0.07117853,515.4275,515.4275,515.4275,,,,,,,0.650839606,5029.490617,0.750434279,3485.254692,,,,,,,0.880586008,6397.894737
0.428537683,4709.090909,0.491190329,5118.181818,0.349549772,3303.305785,0.072691128,661.45514,661.45514,661.45514,,,,,,,0.671685003,5142.091153,0.770121598,3436.997319,,,,,,,0.919468568,6423.157895
0.436744788,4731.404959,0.509095843,5177.68595,0.354025533,3325.619835,0.073123298,995.1094,995.1094,995.1094,,,,,,,0.68268674,5147.453083,0.779386219,3340.482574,,,,,,,0.952521063,6423.157895
0.446443197,4768.595041,0.500886271,5185.123967,0.35775626,3333.057851,0.074117291,787.4871,787.4871,787.4871,,,,,,,0.69716271,5302.949062,0.790966995,3560.321716,,,,,,,0.980388171,6429.473684
0.454645985,4842.975207,0.51804675,5229.752066,0.363725176,3347.933884,0.075068067,226.70938,226.70938,226.70938,,,,,,,0.707585408,5270.77748,0.810075275,3474.530831,,,,,,,0.9881625,6454.736842
0.462107438,4857.85124,0.529237696,5266.942149,0.364471444,3347.933884,0.075370586,401.07947,401.07947,401.07947,,,,,,,0.718008107,5163.538874,0.825130284,3420.911528,,,,,,,0.996586281,6467.368421
0.465838165,4865.289256,0.541924263,5266.942149,0.37193043,3392.561983,0.076494231,693.501,693.501,693.501,,,,,,,0.732484076,5345.844504,0.849449913,3613.941019,,,,,,,,
0.474045886,4880.165289,0.550133835,5259.504132,0.377150611,3437.190083,0.078525433,1116.6583,1116.6583,1116.6583,,,,,,,0.748118124,5061.662198,0.854082224,3689.008043,,,,,,,,
0.481506106,4909.917355,0.559087209,5281.818182,0.378642531,3444.628099,0.078655084,216.1924,216.1924,216.1924,,,,,,,0.762015055,5302.949062,0.869137232,3747.989276,,,,,,,,
0.491952017,4932.231405,0.570280005,5296.694215,0.380881337,3444.628099,0.079562643,916.0711,916.0711,916.0711,,,,,,,0.771858715,5383.378016,0.892877823,3678.284182,,,,,,,,
0.494190823,4932.231405,0.583710991,5319.008264,0.386851486,3444.628099,0.081032024,1831.3403,1831.3403,1831.3403,,,,,,,0.777070064,5206.434316,0.895773017,3646.112601,,,,,,,,
0.504642284,4887.603306,0.592664981,5333.884298,0.392820402,3459.504132,0.081291326,690.2633,690.2633,690.2633,,,,,,,0.796757383,5249.329759,0.904458599,3656.836461,,,,,,,,
0.516580733,4909.917355,0.597885778,5371.07438,0.396549895,3481.818182,0.082112451,1566.5032,1566.5032,1566.5032,,,,,,,0.803126809,5394.101877,0.911986103,3828.418231,,,,,,,,
0.52702541,4947.107438,0.603854077,5393.38843,0.404755767,3519.008264,0.0837547,2043.2075,2043.2075,2043.2075,,,,,,,0.821656051,5260.053619,0.917197452,3951.742627,,,,,,,,
0.530008635,4969.421488,0.615045023,5430.578512,0.413706056,3578.512397,0.084878344,1018.68915,1018.68915,1018.68915,,,,,,,0.830341633,5163.538874,0.924724957,3715.817694,,,,,,,,
0.538958308,5036.363636,0.626983471,5452.892562,0.418928087,3600.826446,0.085224081,1220.1893,1220.1893,1220.1893,,,,,,,0.843659525,5243.967828,0.940938043,3769.436997,,,,,,,,
0.544924756,5080.991736,0.632953004,5460.330579,0.425640804,3645.454545,0.086304508,523.9471,523.9471,523.9471,,,,,,,0.858135495,5410.187668,0.959467284,3930.294906,,,,,,,,
0.556858887,5155.371901,0.640415073,5467.768595,0.429369064,3682.644628,0.087341717,1949.4448,1949.4448,1949.4448,,,,,,,0.895193978,5415.549598,0.933410539,3699.731903,,,,,,,,
0.566559763,5162.809917,0.649369064,5482.644628,0.433840508,3757.024793,0.08967544,1523.2003,1523.2003,1523.2003,,,,,,,0.907353793,5431.635389,0.974522293,4010.723861,,,,,,,,
0.573276181,5162.809917,0.652354138,5482.644628,0.436823733,3779.338843,0.089891525,1945.2491,1945.2491,1945.2491,,,,,,,0.917197452,5308.310992,0.994209612,3957.104558,,,,,,,,
0.58148637,5147.933884,0.660563094,5482.644628,0.440551375,3823.966942,0.090928735,3505.7083,3505.7083,3505.7083,,,,,,,0.924724957,5217.158177,1.001158078,3957.104558,,,,,,,,
0.591188479,5140.495868,0.667278895,5490.082645,0.444280868,3846.280992,0.092441333,752.8105,752.8105,752.8105,,,,,,,0.929357267,5431.635389,,,,,,,,,,
0.602380659,5162.809917,0.676979154,5504.958678,0.44875663,3868.595041,0.092657418,539.19055,539.19055,539.19055,,,,,,,0.949623625,5522.788204,,,,,,,,,,
0.606110152,5185.123967,0.684441224,5512.396694,0.450995436,3868.595041,0.093910714,1480.748,1480.748,1480.748,,,,,,,0.968731905,5490.616622,,,,,,,,,,
0.615807944,5229.752066,0.68668003,5512.396694,0.4562224,3831.404959,0.095423311,2067.7698,2067.7698,2067.7698,,,,,,,0.98552403,5533.512064,,,,,,,,,,
0.624758234,5289.256198,0.697872209,5534.710744,0.462185149,3920.661157,0.095898699,802.49756,802.49756,802.49756,,,,,,,0.997683845,5597.855228,,,,,,,,,,
0.627742692,5296.694215,0.709811891,5542.14876,0.467408412,3928.099174,0.096244436,1614.5719,1614.5719,1614.5719,,,,,,,,,,,,,,,,,,
0.638185519,5356.198347,0.721004071,5564.46281,0.469644751,3957.85124,0.098275639,978.34467,978.34467,978.34467,,,,,,,,,,,,,,,,,,
0.644900703,5371.07438,0.729213026,5564.46281,0.474865548,3995.041322,0.098707809,2628.8564,2628.8564,2628.8564,,,,,,,,,,,,,,,,,,
0.655347848,5378.512397,0.735183175,5564.46281,0.478593808,4032.231405,0.099010329,784.00006,784.00006,784.00006,,,,,,,,,,,,,,,,,,
0.662806217,5430.578512,0.739661404,5557.024793,0.480832614,4032.231405,0.099831453,742.4756,742.4756,742.4756,,,,,,,,,,,,,,,,,,
0.673251511,5460.330579,0.745631553,5557.024793,0.486809547,3950.413223,0.101992307,2325.1372,2325.1372,2325.1372,,,,,,,,,,,,,,,,,,
0.689666954,5490.082645,0.751599235,5586.77686,0.492772912,4032.231405,0.102294827,3180.9585,3180.9585,3180.9585,,,,,,,,,,,,,,,,,,
0.697877143,5475.206612,0.757566917,5616.528926,0.49724744,4069.421488,0.103072734,2329.0574,2329.0574,2329.0574,,,,,,,,,,,,,,,,,,
0.707579252,5467.768595,0.762788948,5638.842975,0.500230665,4091.735537,0.103418471,648.8489,648.8489,648.8489,,,,,,,,,,,,,,,,,,
0.720264586,5482.644628,0.773979894,5676.033058,0.50470581,4121.487603,0.105579325,1509.345,1509.345,1509.345,,,,,,,,,,,,,,,,,,
0.73070803,5534.710744,0.779202541,5690.909091,0.509180955,4151.239669,0.106400449,1190.4832,1190.4832,1190.4832,,,,,,,,,,,,,,,,,,
0.740405822,5579.338843,0.786664611,5698.347107,0.515895522,4173.553719,0.106486884,2159.081,2159.081,2159.081,,,,,,,,,,,,,,,,,,
0.753833724,5638.842975,0.795621068,5683.471074,0.525594548,4203.305785,0.107264791,1215.472,1215.472,1215.472,,,,,,,,,,,,,,,,,,
0.765029604,5616.528926,0.811295177,5653.719008,0.527829653,4247.933884,0.108863823,3406.7842,3406.7842,3406.7842,,,,,,,,,,,,,,,,,,
0.773241643,5579.338843,0.81502652,5653.719008,0.529321574,4255.371901,0.109166343,2594.551,2594.551,2594.551,,,,,,,,,,,,,,,,,,
0.781452449,5557.024793,0.825474281,5653.719008,0.533797952,4270.247934,0.109987467,1303.9401,1303.9401,1303.9401,,,,,,,,,,,,,,,,,,
0.794885901,5549.586777,0.832190699,5653.719008,0.539021833,4270.247934,0.11024677,2019.415,2019.415,2019.415,,,,,,,,,,,,,,,,,,
0.803838041,5586.77686,0.839650302,5690.909091,0.545738251,4270.247934,0.111240762,3394.9417,3394.9417,3394.9417,,,,,,,,,,,,,,,,,,
0.823979277,5683.471074,0.846363636,5728.099174,0.550215863,4270.247934,0.112969446,2092.419,2092.419,2092.419,,,,,,,,,,,,,,,,,,
0.816518441,5661.157025,0.856062045,5765.289256,0.559913038,4322.31405,0.113358399,2523.502,2523.502,2523.502,,,,,,,,,,,,,,,,,,
0.835171457,5705.785124,0.865762304,5780.165289,0.565879487,4366.942149,0.115043865,909.7969,909.7969,909.7969,,,,,,,,,,,,,,,,,,
0.850842482,5713.22314,0.871730603,5802.479339,0.571107068,4322.31405,0.115432819,1686.3469,1686.3469,1686.3469,,,,,,,,,,,,,,,,,,
0.856812631,5713.22314,0.881432096,5802.479339,0.574839028,4314.876033,0.116340378,2152.9292,2152.9292,2152.9292,,,,,,,,,,,,,,,,,,
0.867260392,5713.22314,0.886655976,5802.479339,0.57931664,4314.876033,0.117161502,707.3709,707.3709,707.3709,,,,,,,,,,,,,,,,,,
0.882185765,5713.22314,0.892626126,5802.479339,0.585284322,4344.628099,0.118414798,4704.1045,4704.1045,4704.1045,,,,,,,,,,,,,,,,,,
0.891879857,5802.479339,0.90307512,5787.603306,0.586775009,4366.942149,0.119322356,3078.015,3078.015,3078.015,,,,,,,,,,,,,,,,,,
0.903072037,5824.793388,0.903821389,5787.603306,0.589756383,4411.570248,0.119840961,1065.5103,1065.5103,1065.5103,,,,,,,,,,,,,,,,,,
0.909791538,5787.603306,0.877697052,5847.107438,0.596472185,4419.008264,0.120143481,1493.1919,1493.1919,1493.1919,,,,,,,,,,,,,,,,,,
0.915017269,5765.289256,0.909792155,5780.165289,0.600205995,4389.256198,0.120791737,1985.1554,1985.1554,1985.1554,,,,,,,,,,,,,,,,,,
0.926958801,5750.413223,0.918004194,5742.975207,0.602446651,4366.942149,0.122217901,806.46716,806.46716,806.46716,,,,,,,,,,,,,,,,,,
0.932182682,5750.413223,0.923228691,5735.53719,0.605432342,4359.504132,0.122909374,4251.0054,4251.0054,4251.0054,,,,,,,,,,,,,,,,,,
0.941136672,5765.289256,0.925466264,5750.413223,0.610656223,4359.504132,0.124940577,540.93854,540.93854,540.93854,,,,,,,,,,,,,,,,,,
0.949343777,5787.603306,0.931433946,5780.165289,0.618115826,4396.694215,0.124983794,1850.32,1850.32,1850.32,,,,,,,,,,,,,,,,,,
