SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMFP,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.119733925,1553.431798,0.099039172,1073.848827,0.133776792,927.8887924,0.116777531,1386.62033,0.14781966,469.1572546,0.209164819,761.0773241,0.174427199,198.0886186,0.12020316,713.8964578,0.105530474,452.3160763,0.064616364,1339.925725,0.005,159.3236113,0.110336968,1118.04718
0.129342203,1772.371851,0.101995565,1146.828844,0.141906874,1011.294526,0.122690318,1574.283232,0.172209904,542.1372719,0.238728751,834.0573414,0.192904656,198.0886186,0.139390519,681.1989101,0.121896163,463.2152589,0.071599948,1419.308276,0.0055,203.74551,0.118126779,1380.442255
0.137472284,1970.460469,0.10421286,1209.383145,0.154471545,1157.254561,0.132298596,1834.926151,0.188470067,583.840139,0.257206208,854.908775,0.206208426,198.0886186,0.15744921,811.9891008,0.130925508,430.5177112,0.079985901,1441.770935,0.006,182.1521651,0.13443485,1624.381905
0.142645972,2147.697654,0.106430155,1271.937446,0.158906135,1313.640313,0.137472284,2022.589053,0.21286031,656.8201564,0.277900961,927.8887924,0.254249815,218.9400521,0.16986456,1019.073569,0.146726862,501.3623978,0.086507033,1475.671636,0.0065,319.3029251,0.138946645,1900.604226
0.153732446,2304.083406,0.109386548,1355.34318,0.164079823,1407.471764,0.148558758,2335.360556,0.235033259,667.2458732,0.29563932,959.1659427,0.262379897,218.9400521,0.180586907,1002.724796,0.156320542,501.3623978,0.094423469,1543.647947,0.007,314.7414652,0.145454436,2057.112017
0.15668884,2356.21199,0.112342942,1428.323197,0.169992609,1522.154648,0.155210643,2648.132059,0.249815225,729.8001738,0.306725795,959.1659427,0.288248337,208.5143354,0.192437923,1193.46049,0.169300226,523.1607629,0.099075363,1645.858878,0.0075,285.1834249,0.150658498,2190.605553
0.161862528,2491.746308,0.114560237,1532.580365,0.179600887,1741.0947,0.161862528,2887.923545,0.266814486,771.5030408,0.346637103,1063.42311,0.320029564,208.5143354,0.200902935,1487.73842,0.180586907,523.1607629,0.105126094,1736.647668,0.008,311.5002815,0.157787399,2476.023928
0.172209904,2668.983493,0.116777531,1615.986099,0.181818182,1928.757602,0.171470806,3138.140747,0.29120473,896.6116421,0.370288248,1105.125977,0.342202513,239.7914857,0.209367946,1863.760218,0.191309255,572.2070845,0.113971848,1838.715491,0.0085,364.1144569,0.168199141,2729.198828
0.175905395,2762.814944,0.119733925,1730.668983,0.189209165,2085.143354,0.183296378,3430.060817,0.305247598,959.1659427,0.387287509,1188.531712,0.381374723,271.068636,0.218397291,1994.550409,0.202595937,577.6566757,0.11908531,1997.782709,0.009,400.9864656,0.175337691,2977.784746
0.181079084,2950.477845,0.120473023,1845.351868,0.198817443,2220.677672,0.19586105,3659.426586,0.322246859,1073.848827,0.401330377,1271.937446,0.405025868,281.4943527,0.235891648,2566.757493,0.220654628,702.9972752,0.122338367,2111.41578,0.0095,269.5402301,0.182438854,3369.096435
0.190687361,3138.140747,0.122690318,1949.609036,0.203991131,2324.934839,0.21286031,3951.346655,0.337028825,1167.680278,0.419807834,1365.768897,0.430155211,312.771503,0.247742664,2735.694823,0.239841986,719.346049,0.125587891,2270.546602,0.01,400.6024131,0.19087269,3672.925008
0.192904656,3263.249348,0.126385809,2116.420504,0.208425721,2491.746308,0.228381375,4211.989574,0.355506282,1261.511729,0.432372506,1386.62033,0.449371766,323.1972198,0.257336343,3089.918256,0.251693002,910.0817439,0.130691636,2554.732635,0.0105,325.7571309,0.197364803,3889.285542
0.200295639,3471.763684,0.133776792,2356.21199,0.215077605,2450.04344,0.240206948,4420.50391,0.376940133,1470.026064,0.437546194,1428.323197,0.464892831,323.1972198,0.269187359,3411.444142,0.263544018,817.4386921,0.137653134,2918.476129,0.011,392.2282755,0.206452313,4197.715158
0.205469327,3659.426586,0.13895048,2460.469157,0.22172949,2533.449175,0.254249815,4618.592528,0.382852919,1470.026064,0.446415373,1532.580365,0.493717664,281.4943527,0.279909707,3275.20436,0.274266366,980.9264305,0.139972456,3054.889877,0.0115,373.7310989,0.215566356,4404.855516
0.211382114,3784.535187,0.14338507,2637.706342,0.224685883,2616.854909,0.266075388,4847.958297,0.393200296,1532.580365,0.455284553,1688.966116,0.518107908,271.068636,0.289503386,3907.356948,0.286681716,1280.653951,0.146941022,3327.63787,0.012,434.6943857,0.222725409,4575.172464
0.216555802,3920.069505,0.147080562,2773.24066,0.231337768,2741.96351,0.277900961,5098.1755,0.39985218,1636.837533,0.464153732,1741.0947,0.555062823,271.068636,0.289503386,4234.332425,0.298532731,1269.754768,0.151118981,3532.234641,0.0125,365.8523015,0.233186598,4639.581022
0.218773097,3961.772372,0.151515152,2887.923545,0.238728751,2867.072111,0.287509239,5306.689835,0.406504065,1709.81755,0.472283814,1761.946134,0.580931264,312.771503,0.309819413,4217.983651,0.31772009,1340.599455,0.159010682,3918.695208,0.013,231.9290459,0.242985672,4731.616938
0.225424982,3951.346655,0.158167036,3179.843614,0.244641537,2992.180712,0.296378418,5598.609904,0.413895048,1688.966116,0.477457502,1772.371851,0.603104213,333.6229366,0.313205418,4376.021798,0.325056433,1634.877384,0.165044629,4225.598315,0.0135,415.7352156,0.252125042,4842.072097
0.228381375,3993.049522,0.164079823,3346.655083,0.251293422,3065.16073,0.305986696,5890.529974,0.420546933,1709.81755,0.48706578,1824.500434,0.624538064,354.4743701,0.322799097,4326.975477,0.34255079,1743.86921,0.17619292,4680.194203,0.014,464.7965734,0.259990834,4814.411573
0.232815965,4086.880973,0.172209904,3565.595135,0.254249815,3096.43788,0.320768662,6182.450043,0.428677014,1866.203301,0.494456763,1907.906169,0.654841094,333.6229366,0.324492099,4485.013624,0.351015801,1852.861035,0.178975576,4850.715363,0.0145,467.7236164,0.268486179,4883.433234
0.237250554,4170.286707,0.177383592,3753.258036,0.2609017,3252.823632,0.33481153,6505.647263,0.36511456,1355.34318,0.497413156,1980.886186,0.66962306,323.1972198,0.335778781,4501.362398,0.360609481,2027.247956,0.191520055,5328.012424,0.015,461.0462169,0.284208114,4864.944643
0.243902439,4222.415291,0.181079084,3930.495222,0.266075388,3346.655083,0.348854398,6703.735882,0.371027347,1407.471764,0.505543237,2126.846221,0.73022912,323.1972198,0.350451467,4604.904632,0.368510158,1945.504087,0.203136097,5759.843535,0.0155,336.850517,0.321502484,4993.686381
0.246858832,4274.543875,0.188470067,4128.58384,0.274205469,3586.446568,0.365853659,6870.54735,0.436067997,1970.460469,0.511456024,2293.657689,0.687361419,323.1972198,0.364559819,4899.182561,0.37979684,2239.782016,0.208719077,5873.397102,0.016,706.8828296,0.328714603,4961.424815
0.248337029,4347.523892,0.194382853,4326.672459,0.282335551,3669.852302,0.379896526,6985.230235,0.445676275,2137.271937,0.516629712,2408.340573,0.701404287,323.1972198,0.381489842,4975.476839,0.392776524,2746.594005,0.216635513,5941.373413,0.0165,293.3776787,0.343770804,4984.375754
0.250554324,4399.652476,0.203991131,4545.612511,0.288248337,3784.535187,0.393939394,7047.784535,0.451589061,2231.103388,0.520325203,2512.597741,0.711751663,323.1972198,0.39221219,4550.408719,0.399548533,2811.989101,0.238991283,6088.477861,0.017,381.4139748,0.347702494,4975.149549
0.253510717,4441.355343,0.210643016,4691.572546,0.294900222,3899.218071,0.410938655,7225.02172,0.467849224,2450.04344,0.527716186,2627.280626,0.738359202,364.9000869,0.406884876,4937.3297,0.409142212,2610.354223,0.248308322,6122.283156,0.0175,417.0434738,0.364714892,5030.319842
0.255728012,4493.483927,0.218033999,4806.25543,0.303769401,3888.792354,0.422025129,7360.556038,0.476718404,2470.894874,0.541759054,2752.389227,0.760532151,302.3457863,0.426072235,4888.283379,0.419300226,2752.043597,0.256681908,6303.987944,0.018,318.8475703,0.370614839,5007.27242
0.259423503,4597.741095,0.22616408,4920.938315,0.311899483,3899.218071,0.430894309,7548.21894,0.458240946,2324.934839,0.546193644,2846.220678,0.785661493,281.4943527,0.445823928,4942.779292,0.430022573,2904.632153,0.269245821,6531.047374,0.0185,280.4672079,0.402708765,4988.708452
0.263118995,4660.295395,0.235033259,5035.621199,0.320029564,3993.049522,0.445676275,7819.287576,0.481892092,2554.300608,0.55654102,2919.200695,0.795269771,281.4943527,0.453160271,5089.918256,0.443002257,2926.430518,0.274819967,6758.345318,0.019,503.273212,0.41318684,4988.66021
0.266075388,4806.25543,0.239467849,5098.1755,0.327420547,4066.02954,0.461197339,8048.653345,0.487804878,2627.280626,0.566149298,2971.329279,0.806356245,281.4943527,0.461625282,5095.367847,0.461625282,3286.103542,0.284113154,7099.260432,0.0195,498.3582066,0.42299315,5053.071783
0.269031781,4931.364031,0.248337029,5223.284101,0.333333333,4201.563858,0.476718404,8205.039096,0.492239468,2741.96351,0.571322986,3096.43788,0.81744272,323.1972198,0.463882619,4975.476839,0.471783296,3373.297003,0.28689316,7303.904906,0.02,539.3329975,0.430196826,5053.038617
0.271988174,5025.195482,0.257206208,5264.986968,0.342202513,4274.543875,0.492239468,8257.16768,0.498152254,2731.537793,0.572062084,3086.012163,0.836659276,323.1972198,0.477426637,5062.6703,0.480248307,3607.629428,0.295248195,7724.472885,0.0205,327.8644883,0.446585701,4988.50644
0.274205469,5056.472632,0.260162602,5275.412685,0.351071693,4347.523892,0.509238729,8434.404865,0.50849963,2835.794961,0.577235772,3054.735013,0.871396896,333.6229366,0.491534989,5062.6703,0.490970655,3438.692098,0.301747243,8042.734529,0.021,452.3402707,0.468837136,5043.652612
0.279379157,5056.472632,0.273466371,5327.541268,0.359201774,4284.969592,0.519586105,8559.513467,0.513673319,2940.052129,0.580931264,3033.883579,0.902439024,312.771503,0.502257336,5155.313351,0.503950339,4168.93733,0.308247174,8349.621735,0.0215,370.2504913,0.476048049,5015.995103
0.285291944,5181.581234,0.277900961,5337.966985,0.368810052,4274.543875,0.535846268,8715.899218,0.519586105,3065.16073,0.585365854,3013.032146,0.911308204,333.6229366,0.514108352,5095.367847,0.519187359,3940.054496,0.321730688,8735.891492,0.022,373.4745042,0.502882435,5075.724227
0.292682927,5306.689835,0.283813747,5337.966985,0.376201035,4211.989574,0.549150037,8851.433536,0.52623799,3023.457863,0.586104952,3013.032146,0.945306726,364.9000869,0.52765237,5171.662125,0.526523702,3940.054496,0.327317202,8803.947308,0.0225,365.903986,0.519928602,5001.98092
0.299334812,5431.798436,0.292682927,5327.541268,0.381374723,4128.58384,0.580192166,8966.116421,0.534368071,2960.903562,0.58684405,3044.309296,0.960088692,364.9000869,0.554176072,5095.367847,0.536681716,4267.029973,0.336633357,8849.127041,0.023,401.5388218,0.54218245,5047.918978
0.303030303,5473.501303,0.3045085,5483.92702,0.388026608,4107.732407,0.593495935,9007.819288,0.541019956,3075.586447,0.592756837,3086.012163,0.971175166,354.4743701,0.567155756,5182.561308,0.538939052,4397.820163,0.34875072,8825.964742,0.0235,598.1534702,0.579522649,5001.706546
0.307464893,5588.184188,0.311160384,5546.481321,0.390243902,4107.732407,0.606060606,9091.225022,0.546193644,3138.140747,0.60014782,3096.43788,0.984478936,354.4743701,0.599322799,5100.817439,0.55248307,4370.572207,0.358542577,8746.00976,0.024,299.6035337,0.593921559,5033.868614
0.310421286,5650.738488,0.325203252,5702.867072,0.393939394,4159.86099,0.619364375,9195.482189,0.552845528,3138.140747,0.605321508,3096.43788,0.994087214,354.4743701,0.613995485,5226.158038,0.563205418,4702.997275,0.37205966,8700.050883,0.0245,815.2929393,0.614866853,5075.208645
0.316334072,5671.589922,0.332594235,5807.12424,0.398373984,4222.415291,0.628972653,9226.75934,0.561714708,3065.16073,0.609756098,3117.289314,1,354.4743701,0.625282167,5128.065395,0.571670429,4316.076294,0.386047144,8597.203917,0.025,352.8029071,0.624684018,5098.183704
0.316334072,5723.718506,0.347376201,5994.787142,0.405025868,4326.672459,0.643754619,9393.570808,0.572801183,3190.269331,0.62158167,3200.695048,,,0.64503386,5177.111717,0.578442438,4561.307902,0.402346883,8721.7662,0.0255,527.0572008,0.634515654,5065.910078
0.319290466,5786.272806,0.36067997,6088.618593,0.409460458,4389.226759,0.652623799,9487.402259,0.58240946,3252.823632,0.631189948,3336.229366,,,0.680586907,5149.86376,0.598194131,4572.207084,0.432607605,9084.71465,0.026,981.3288578,0.662668243,5093.404771
0.321507761,5869.67854,0.371766445,6140.747176,0.421286031,4389.226759,0.662232077,9508.253692,0.59127864,3273.675065,0.63932003,3492.615117,,,0.709367946,5264.305177,0.611173815,4659.400545,0.434934877,9118.758458,0.0265,253.9517118,0.673808433,5065.729172
0.323725055,5932.232841,0.382852919,6213.727194,0.424981523,4399.652476,0.67405765,9664.639444,0.602365115,3252.823632,0.650406504,3565.595135,,,0.727990971,5198.910082,0.624153499,4474.114441,0.442847779,9232.232521,0.027,464.4030005,0.703293695,5005.74075
0.32594235,5994.787142,0.398373984,6213.727194,0.430155211,4430.929626,0.684405026,9727.193745,0.609756098,3242.397915,0.660014782,3774.10947,,,0.753950339,5269.754768,0.635440181,4376.021798,0.455873259,9516.148239,0.0275,538.4684736,0.724904723,5005.641251
0.329637842,6140.747176,0.410938655,6286.707211,0.436807095,4430.929626,0.697708795,9789.748045,0.616407982,3294.526499,0.676274945,3951.346655,,,0.785553047,5242.506812,0.647291196,4343.324251,0.4591325,9550.160246,0.028,420.169252,0.753704954,5060.757272
0.336289727,6286.707211,0.422025129,6370.112945,0.43902439,4483.05821,0.705838877,9914.856646,0.623798965,3377.932233,0.689578714,4107.732407,,,0.809819413,5253.405995,0.65744921,4435.967302,0.472636332,9674.817935,0.0285,467.7228969,0.760253751,5060.727121
0.342941611,6245.004344,0.432372506,6474.370113,0.44345898,4524.761077,0.710273466,9956.559513,0.628233555,3471.763684,0.697708795,4284.969592,,,0.821670429,5204.359673,0.670428894,4773.841962,0.497327325,9753.596252,0.029,831.9591192,0.764845144,5033.081673
0.348115299,6245.004344,0.444937177,6557.775847,0.451589061,4576.889661,0.725055432,10165.07385,0.637841833,3482.189401,0.71322986,4410.078193,,,0.834650113,5297.002725,0.683972912,4702.997275,0.516429154,9798.442066,0.0295,243.6363363,0.78970645,5125.048242
0.350332594,6286.707211,0.454545455,6578.627281,0.453806356,4524.761077,0.747228381,10394.43962,0.642276423,3544.743701,0.73022912,4545.612511,,,0.849322799,5247.956403,0.703160271,4762.942779,0.545780875,9865.686936,0.03,761.7181351,0.801495489,5120.389913
0.353288987,6307.558645,0.472283814,6630.755864,0.461197339,4503.909644,0.754619364,10488.27107,0.648928307,3649.000869,0.750923873,4660.295395,,,0.871896163,5340.599455,0.709367946,4277.929155,0.588639078,10023.46618,0.0305,339.0738398,0.815253992,5097.30631
0.356245381,6359.687228,0.481892092,6682.884448,0.466371027,4514.335361,0.770879527,10519.54822,0.660014782,3794.960904,0.762010347,4691.572546,,,0.900112867,5297.002725,0.72234763,4746.594005,0.621717791,10101.95828,0.031,490.3186795,0.83293936,5083.412731
0.36067997,6432.667246,0.494456763,6766.290182,0.470066519,4576.889661,0.785661493,10498.69679,0.672579453,3774.10947,0.775314117,4649.869679,,,0.912528217,5351.498638,0.742663657,4653.950954,0.646874768,10180.7207,0.0315,394.76125,0.848645617,5124.776883
0.361419069,6495.221546,0.512195122,6839.2702,0.475240207,4587.315378,0.799704361,10394.43962,0.657797487,3763.683753,0.77827051,4639.443962,,,0.945823928,5335.149864,0.751693002,4828.337875,0.682286054,10225.00998,0.032,377.7120223,0.868277534,5179.935115
0.36511456,6568.201564,0.523281596,6870.54735,0.486326681,4535.186794,0.823355506,10311.03388,0.651884701,3721.980886,0.78713969,4629.018245,,,0.958239278,5373.297003,0.76241535,4746.594005,0.740529694,10279.89456,0.0325,467.8754896,0.889232476,5184.442689
0.372505543,6557.775847,0.532889874,6901.8245,0.49150037,4545.612511,0.84331116,10311.03388,0.66518847,3847.089487,0.793791574,4691.572546,,,0.974040632,5351.498638,0.772009029,5013.623978,0.754040593,10313.55675,0.033,347.4523899,0.908878865,5184.352236
0.376940133,6536.924414,0.541019956,6839.2702,0.495195861,4618.592528,0.861788618,10425.71677,0.678492239,3701.129453,0.802660754,4733.275413,,,0.988148984,5422.343324,0.782167043,4724.79564,0.811816483,10391.2061,0.0335,385.4049439,0.953403444,5211.771552
0.379896526,6536.924414,0.549889135,6776.715899,0.496674058,4618.592528,0.87804878,10540.39965,0.686622321,3701.129453,0.809312639,4795.829713,,,1,5449.591281,0.79006772,4746.594005,0.846765317,10390.01353,0.034,350.691071,0.970430315,5211.693159
0.388765706,6735.013032,0.557280118,6724.587315,0.507021434,4576.889661,0.897265336,10665.50825,0.690317812,3711.555169,0.822616408,4827.106864,,,,,0.800790068,4953.678474,0.861210835,10389.52061,0.0345,276.97289,0.995971827,5206.971513
0.383592018,6672.458732,0.569844789,6724.587315,0.509977827,4576.889661,0.915003695,10738.48827,0.696969697,3690.703736,0.834441981,4827.106864,,,,,0.822799097,4861.035422,0.890565206,10422.64216,0.035,591.0803518,,
0.392461197,6839.2702,0.579453067,6766.290182,0.521064302,4608.166811,0.93052476,10832.31972,0.70436068,3701.129453,0.842572062,4837.53258,,,,,0.851580135,5008.174387,0.918518973,10489.93474,0.0355,326.1992022,,
0.393939394,6891.398784,0.59127864,6870.54735,0.526977088,4629.018245,0.949002217,10874.02259,0.715447154,3794.960904,0.849223947,4827.106864,,,,,0.872460497,4790.190736,0.947872461,10534.43073,0.036,470.5229731,,
0.399113082,6995.655951,0.600886918,7016.507385,0.538063562,4618.592528,0.96969697,11019.98262,0.719881744,3878.366638,0.858093126,4754.126846,,,,,0.885440181,4986.376022,0.970703932,10556.40046,0.0365,571.8734612,,
0.402069475,7037.358818,0.611973392,7047.784535,0.541019956,4576.889661,0.984478936,11103.38836,0.725794531,3951.346655,0.864745011,4764.552563,,,,,0.89221219,5073.569482,0.984213065,10612.81152,0.037,375.846203,,
0.407982262,7152.041703,0.624538064,7110.338836,0.551367332,4660.295395,0.997043607,11103.38836,0.733924612,4055.603823,0.88248337,4827.106864,,,,,0.905756208,4899.182561,0.993997855,10623.85204,0.0375,374.3979421,,
0.410199557,7214.596003,0.637102735,7152.041703,0.558019217,4660.295395,,,0.742793792,4170.286707,0.883961567,4837.53258,,,,,0.908013544,4801.089918,0.999121034,10657.80045,0.038,417.762235,,
0.41315595,7266.724587,0.649667406,7214.596003,0.564671101,4618.592528,,,0.750184775,4191.138141,0.89135255,4847.958297,,,,,0.921557562,5062.6703,,,0.0385,497.9299938,,
0.419807834,7245.873154,0.659275684,7266.724587,0.570583888,4722.849696,,,0.758314856,4180.712424,0.906134516,4806.25543,,,,,0.931715576,5128.065395,,,0.039,591.6561614,,
0.422764228,7225.02172,0.667405765,7318.853171,0.577974871,4733.275413,,,0.763488544,4024.326672,0.915742794,4743.701129,,,,,0.957674944,4964.577657,,,0.0395,973.8409912,,
0.432372506,7193.74457,0.676274945,7402.258905,0.580931264,4827.106864,,,0.772357724,4024.326672,0.927568367,4722.849696,,,,,0.958803612,4861.035422,,,0.04,339.1578639,,
0.433111604,7193.74457,0.688839616,7433.536056,0.588322247,4858.384014,,,0.781966001,4086.880973,0.935698448,4712.423979,,,,,0.977990971,4920.980926,,,0.0405,325.5744219,,
0.440502587,7308.427454,0.697708795,7402.258905,0.592756837,4816.681147,,,0.789356984,4118.158123,0.953436807,4764.552563,,,,,0.991534989,5013.623978,,,0.041,519.9831777,,
0.446415373,7266.724587,0.715447154,7402.258905,0.599408721,4722.849696,,,0.798226164,4159.86099,0.959349593,4806.25543,,,,,0.999435666,5095.367847,,,0.0415,381.2661209,,
0.453067258,7183.318853,0.722838137,7402.258905,0.606799704,4681.146829,,,0.811529933,4201.563858,0.963784183,4827.106864,,,,,,,,,0.042,449.4242987,,
0.453806356,7183.318853,0.733924612,7454.387489,0.609756098,4639.443962,,,0.815964523,4201.563858,0.974131559,4806.25543,,,,,,,,,0.0425,320.9047075,,
0.459719143,7266.724587,0.746489283,7537.793223,0.614190687,4618.592528,,,0.823355506,4170.286707,0.983000739,4816.681147,,,,,,,,,0.043,429.5599775,,
0.465631929,7360.556038,0.756836659,7569.070374,0.617886179,4576.889661,,,0.833702882,4201.563858,0.988913525,4827.106864,,,,,,,,,0.0435,633.366117,,
0.466371027,7506.516073,0.767184035,7579.49609,0.624538064,4514.335361,,,0.841832964,4055.603823,0.994826312,4837.53258,,,,,,,,,0.044,938.052707,,
0.466371027,7621.198957,0.776792313,7642.050391,0.627494457,4483.05821,,,0.848484848,4055.603823,0.997782705,4837.53258,,,,,,,,,0.0445,770.5437851,,
0.467849224,7683.753258,0.785661493,7642.050391,0.632668145,4451.78106,,,0.864005913,4159.86099,,,,,,,,,,,0.045,361.8490717,,
0.471544715,7808.861859,0.791574279,7642.050391,0.638580931,4441.355343,,,0.875831486,4013.900956,,,,,,,,,,,0.0455,282.6966996,,
0.473022912,7954.821894,0.80413895,7704.604692,0.645232816,4503.909644,,,0.855875831,4097.30669,,,,,,,,,,,0.046,641.6561327,,
0.477457502,8048.653345,0.816703622,7746.307559,0.653362897,4576.889661,,,0.869179601,4097.30669,,,,,,,,,,,0.0465,241.7291089,,
0.484109387,8100.781929,0.830746489,7808.861859,0.659275684,4608.166811,,,0.88691796,4139.009557,,,,,,,,,,,0.047,1037.867411,,
0.488543976,8173.761946,0.841093865,7788.010426,0.66962306,4597.741095,,,0.900960828,4097.30669,,,,,,,,,,,0.0475,483.568382,,
0.496674058,8288.444831,0.851441242,7746.307559,0.676274945,4545.612511,,,0.908351811,4055.603823,,,,,,,,,,,0.048,1376.691287,,
0.498891353,8194.61338,0.854397635,7725.456125,0.681448633,4597.741095,,,0.918699187,4159.86099,,,,,,,,,,,0.0485,584.6051351,,
0.501847746,8132.059079,0.863266814,7704.604692,0.688839616,4629.018245,,,0.92609017,4201.563858,,,,,,,,,,,0.049,553.7125218,,
0.503325942,8079.930495,0.872875092,7725.456125,0.699186992,4701.998262,,,0.940133038,4201.563858,,,,,,,,,,,0.0495,282.4953403,,
0.507021434,7965.247611,0.885439763,7767.158992,0.708056171,4649.869679,,,0.95195861,4222.415291,,,,,,,,,,,0.05,643.9517856,,
0.510716925,7913.119027,0.894308943,7850.564726,0.715447154,4649.869679,,,0.961566888,4284.969592,,,,,,,,,,,0.0505,819.880711,,
0.516629712,7756.733275,0.904656319,7954.821894,0.720620843,4722.849696,,,0.970436068,4347.523892,,,,,,,,,,,0.051,347.5708691,,
0.524020695,7756.733275,0.917960089,8027.801911,0.728750924,4629.018245,,,0.978566149,4399.652476,,,,,,,,,,,0.0515,791.2620391,,
0.52623799,7683.753258,0.932002956,8059.079062,0.742054693,4587.315378,,,0.985218034,4441.355343,,,,,,,,,,,0.052,663.3313703,,
0.533628973,7621.198957,0.937176644,8048.653345,0.747228381,4556.038228,,,0.994087214,4451.78106,,,,,,,,,,,0.0525,386.7063437,,
0.536585366,7569.070374,0.950480414,8038.227628,0.758314856,4556.038228,,,,,,,,,,,,,,,0.053,370.3374263,,
0.543976349,7600.347524,0.962305987,8079.930495,0.767184035,4608.166811,,,,,,,,,,,,,,,0.0535,718.8227793,,
0.548410939,7746.307559,0.968218773,8100.781929,0.770879527,4639.443962,,,,,,,,,,,,,,,0.054,697.4979667,,
0.555062823,7871.41616,0.977087953,8121.633362,0.77827051,4681.146829,,,,,,,,,,,,,,,0.0545,523.2691748,,
0.558758315,7965.247611,0.987435329,8152.910513,0.784922395,4660.295395,,,,,,,,,,,,,,,0.055,375.7180013,,
0.5654102,8048.653345,0.993348115,8132.059079,0.790835181,4733.275413,,,,,,,,,,,,,,,0.0555,477.914917,,
0.571322986,8173.761946,0.994826312,8132.059079,0.800443459,4858.384014,,,,,,,,,,,,,,,0.056,1433.161039,,
0.577974871,8309.296264,0.998521803,8163.336229,0.807095344,4889.661164,,,,,,,,,,,,,,,0.0565,598.2341528,,
0.583148559,8455.256299,,,0.814486327,4847.958297,,,,,,,,,,,,,,,0.057,349.1740015,,
0.590539542,8580.3649,,,0.82187731,4827.106864,,,,,,,,,,,,,,,0.0575,732.302257,,
0.597191426,8695.047785,,,0.828529194,4816.681147,,,,,,,,,,,,,,,0.058,736.8694864,,
0.609016999,8830.582103,,,0.834441981,4785.403997,,,,,,,,,,,,,,,0.0585,462.464822,,
0.616407982,8913.987837,,,0.837398374,4754.126846,,,,,,,,,,,,,,,0.059,1226.410313,,
0.628233555,8913.987837,,,0.844789357,4754.126846,,,,,,,,,,,,,,,0.0595,876.0485588,,
0.636363636,8861.859253,,,0.849223947,4764.552563,,,,,,,,,,,,,,,0.06,1370.355754,,
0.640059128,8642.919201,,,0.854397635,4816.681147,,,,,,,,,,,,,,,0.0605,1405.659673,,
0.645971914,8559.513467,,,0.86104952,4889.661164,,,,,,,,,,,,,,,0.061,426.2233509,,
0.65631929,8486.533449,,,0.865484109,4931.364031,,,,,,,,,,,,,,,0.0615,635.0905288,,
