SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,,,TD3,,Crossq,,SMPO,,,,QVPO,,,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y,X,Y,X,Y,MIN,MAX,X,Y,MIN,MAX
0.200757085,155804.2349,0.206139408,169682.6663,0.350691837,141692.5156,0.367442092,98725.84913,0.32917096,90578.11909,0.258806555,104066.8741,0.976393514,58528.86194,0.27,152506.2539,142084.0313,156277.6875,1.003236246,105243.8,0.283674917,262082.5147,,,,,-0.003,100.7275162,100.7275162,100.7275162
0.206888985,161561.3462,0.210730727,170024.1832,0.367526242,142719.1379,0.395755118,100775.4688,0.33375969,89565.99641,0.269518122,104074.1239,0.99705283,59219.66351,0.28,150910.0469,143728.75,155973.9688,,,0.300436812,264833.0059,,,,,-0.0025,201.2025604,201.2025604,201.2025604
0.215317515,167996.8308,0.218383141,170706.1815,0.385124463,143069.4582,0.430953503,102491.3391,0.344466726,87204.3768,0.27411203,105769.2806,0.741497677,54985.78523,0.29,155970.2031,155084.8438,156734.6563,,,0.308320546,269548.1336,,,,,-0.002,94.26573944,94.26573944,94.26573944
0.219915954,172060.8568,0.226803256,172742.3372,0.405014784,141729.2824,0.47916138,105569.6524,0.354411887,86534.28892,0.281768328,108481.7383,0.763688513,56354.44231,0.3,151685.957,142076.9375,156515.375,,,0.326552528,279764.2436,,,,,-0.0015,6580.567865,104.0003204,22168.86914
0.223753165,178154.8245,0.230632052,174436.976,0.411900792,141733.943,0.526600262,106616.9883,0.361297247,86200.53959,0.289422684,110178.9663,0.784346535,56368.42405,0.31,151341.7617,140576.2031,156457.5,,,0.33985645,287622.7898,,,,,-0.001,98.83512115,98.83512115,98.83512115
0.230658592,188311.7825,0.2398244,180196.1586,0.43332522,142425.2624,0.570977401,106985.4331,0.368187138,88235.65965,0.297840209,110861.4824,,,0.32,152810.2617,147532.3906,155772.3438,,,0.363512011,298231.8271,,,,,-0.0005,57.68185043,57.68185043,57.68185043
0.242930806,204225.3339,0.247481992,183585.4362,0.444803194,143109.8499,0.601583821,108021.3765,0.37967029,91627.52642,0.31084776,111208.6956,,,0.33,153683.4844,143525.7188,158902.9844,,,0.371890294,301768.1729,,,,,1.10E-13,77.82654572,77.82654572,77.82654572
0.25136322,212691.278,0.257435567,187314.6772,0.459341615,143796.5087,0.637546671,109399.3548,0.383496497,91968.52555,0.327679575,110881.6782,,,0.34,151328.0039,138670.6875,155896.5313,,,0.384707901,304125.7367,,,,,0.0005,115.6308594,115.6308594,115.6308594
0.260562687,222172.9697,0.265093807,191042.3647,0.483825197,143813.0797,0.68574937,109770.3887,0.39573764,91638.40111,0.352927621,110560.3571,,,0.35,154705.6836,148572.1406,157355.2813,,,0.409360796,305697.446,,,,,0.001,266.0366821,266.0366821,266.0366821
0.278182917,234029.227,0.270454769,193753.2689,0.517490122,143835.8647,0.734718475,110818.7604,0.404915747,89952.56565,0.380474887,112271.049,,,0.36,153621.3633,147368.5,157336.3281,,,0.424644854,307269.1552,,,,,0.0015,282.0053406,282.0053406,282.0053406
0.288901605,237758.9859,0.277345955,196465.2088,0.535087697,143847.7751,0.786746734,111192.3836,0.41180046,89280.4064,0.403427598,111948.1743,,,0.37,157478.4492,156587.2031,158729.0313,,,0.466053347,316699.4106,,,,,0.002,565.862793,565.862793,565.862793
0.305754134,248261.0857,0.288065937,200871.7874,0.551155047,143858.6498,0.854845579,113268.931,0.419452226,89623.99474,0.429440109,111288.9612,,,0.38,156602.625,153280.3438,159140.2969,,,0.470490733,317092.3379,,,,,0.0025,13183.39417,2440.432373,20143.42969
0.319540389,255715.425,0.297260873,207984.6097,0.57104731,143533.7038,0.916051297,111618.3088,0.427871047,90983.33066,0.444742348,111299.318,,,0.39,155836.8047,148958.375,159489.5156,,,0.480350728,318664.0472,,,,,0.003,1336.738892,1336.738892,1336.738892
0.339437183,257759.3483,0.304160474,215095.8785,0.597063058,144566.5401,0.991030972,110992.2375,0.435524755,92342.14873,0.476877049,111321.0674,,,0.4,156794.9453,152934.9844,158256.7188,,,0.494154528,321021.611,,,,,0.0035,129.1645966,129.1645966,129.1645966
0.351678974,257767.6338,0.313360589,224915.9801,0.613894226,143901.1128,0.823476638,113586.1094,0.444708041,93363.59258,0.509780098,113035.3842,,,0.41,156782.5313,154802.9219,158021.2656,,,0.512889779,322986.2475,,,,,0.004,615.9085083,615.9085083,615.9085083
0.356272235,259124.3805,0.321025949,232366.1766,0.629961576,143911.9875,0.893864993,112618.5211,0.450065119,94044.03731,0.544977836,114412.8446,,,0.42,157854.3086,156007.3281,160092.2188,,,0.532612192,324165.0295,,,,,0.0045,97.85982513,97.85982513,97.85982513
0.371580947,262518.8365,0.327924903,239139.0355,0.649089374,143924.9336,0.94359468,111298.5412,0.46154374,95067.03468,0.564104987,114087.3807,,,0.43,158384.6563,157404.1563,160194.4063,,,0.549870574,324165.0295,,,,,0.005,578.5731812,578.5731812,578.5731812
0.387648944,262868.1211,0.335585084,243881.9527,0.664393555,144950.5202,0.973433398,110980.3272,0.471490842,95412.17654,0.616896416,113446.292,,,0.44,156537.8047,152767.1563,157975.4375,,,0.564167471,326522.5933,,,,,0.0055,248.4712067,248.4712067,248.4712067
0.393004081,262533.3361,0.34554578,251333.7027,0.682759478,146654.998,1.000212963,111336.8616,0.487559487,96099.87106,0.591649664,114444.4329,,,0.45,155209.7891,151101.6563,158123.6094,,,0.580436754,328880.1572,,,,,0.006,16399.27148,16399.27148,16399.27148
0.41137324,265929.8634,0.360867438,261496.357,0.694999974,145986.4636,,,0.499036166,96107.63869,0.642143815,112786.561,,,0.46,158765.9453,157494.9844,160350.0938,,,0.600652748,329666.0118,,,,,0.0065,5771.793661,116.1662216,18888.53906
0.421324874,268643.8747,0.370060432,267593.9495,0.708002346,143626.3975,,,0.513573293,96117.47769,0.667395098,114157.2894,,,0.47,158638.7656,157010.375,159703.5781,,,0.635661156,330844.7937,,,,,0.007,138.3834839,138.3834839,138.3834839
0.428981171,271356.3324,0.385373675,273357.2749,0.727130144,143639.3436,,,0.527343366,95111.56911,0.693409551,114513.306,,,0.48,157667.0703,153600.2813,160551.625,,,0.653408761,333988.2122,,,,,0.0075,1502.000122,1502.000122,1502.000122
0.43663488,272715.1505,0.405271764,276078.0181,0.747026291,145344.857,,,0.540347032,93428.32286,0.713301167,113849.95,,,0.49,157850.2813,155299.9531,160665.9063,,,0.676581881,335952.8487,,,,,0.008,84.71794128,84.71794128,84.71794128
0.448875376,272046.6162,0.418279961,276763.6413,0.753916829,147718.387,,,0.555646681,92085.04006,0.738550508,114205.4487,,,0.5,158283.7734,156836.3594,161136.9063,,,0.689400941,337131.6306,,,,,0.0085,458.3768005,458.3768005,458.3768005
0.451935177,271710.2776,0.425171147,279475.5811,0.769219715,148067.1538,,,0.574009368,92097.46827,0.764563666,113884.6455,,,0.51,158535.3164,157730.7813,159012.8906,,,0.709615966,338703.3399,,,,,0.009,44.27800369,44.27800369,44.27800369
0.459586296,271715.456,0.431289453,278126.0842,0.78758046,147064.3523,,,0.583957117,92781.02005,0.795170085,114920.5889,,,0.52,158570.0234,157522.9063,160949.6406,,,0.72933741,340667.9764,,,,,0.0095,89.71559906,89.71559906,89.71559906
0.4733609,273078.4169,0.435880125,278129.1913,0.811299577,147418.8153,,,0.599261945,94145.01655,0.817359626,115612.4261,,,0.53,158610.3828,156750.0313,160741.9375,,,0.739690502,342239.6857,,,,,0.01,8376.628838,29.55064201,16792.86914
0.476421995,273418.8981,0.442002962,279148.5638,0.826599874,146413.9424,,,0.609211637,95843.79806,0.847196402,114278.9823,,,0.54,158177.4453,157428.8281,159031.0938,,,0.760395233,346561.8861,,,,,0.0105,66.0945282,66.0945282,66.0945282
0.48866767,275457.6431,0.448892853,281183.6838,0.840371241,146084.8536,,,0.628342024,97210.38377,0.880862622,114978.5872,,,0.55,159265.4961,157879.6719,162233.2031,,,0.774199517,348526.5226,,,,,0.011,183.8848114,183.8848114,183.8848114
0.492492582,275121.8224,0.453484819,281863.6107,0.861029263,146098.8354,,,0.641348927,97219.18709,0.905344909,114318.3383,,,0.56,159172.0508,156941.9531,161720.4688,,,0.785539771,349312.3772,,,,,0.0115,256.0830383,256.0830383,256.0830383
0.497845776,273771.8076,0.459605715,281867.7534,0.872507237,146783.4228,,,0.654354536,96551.17058,0.928302151,116364.3331,,,0.57,159155.543,157340.9688,162162.3438,,,0.799839574,349312.3772,,,,,0.012,33786.64453,33786.64453,33786.64453
0.510091451,275810.5526,0.466491075,281534.0041,0.893929724,146459.5125,,,0.664299696,95881.0827,0.939013718,116371.5829,,,0.58,159940.1445,158837.8438,162814.8438,,,0.818577247,349312.3772,,,,,0.0125,134.9258118,134.9258118,134.9258118
0.512387434,276150.516,0.481027554,281205.4332,0.903875531,146127.8345,,,0.678069122,94536.76421,0.951255509,116379.8684,,,0.59,159602.1133,157701.9844,162673.2656,,,0.822522504,348919.4499,,,,,0.013,130.2968292,130.2968292,130.2968292
0.529227664,280222.8275,0.487912267,280533.274,0.923768442,146141.2984,,,0.695666696,94548.67458,0.958141516,116384.5289,,,0.6,159088.7266,157156.9844,162760.1719,,,0.834358277,347740.668,,,,,0.0135,3147.170654,3147.170654,3147.170654
0.544535081,282940.4637,0.495565328,281553.6821,0.948252023,146157.8694,,,0.709438711,94557.99574,0.971912883,116055.4402,,,0.61,159463.9844,156780.2656,162704.4063,,,0.85309934,344990.1768,,,,,0.014,16555.42794,4011.75708,28491.07422
0.556780756,284979.2086,0.514700894,285627.5471,0.971970493,146173.9225,,,0.718621996,95579.43959,0.97726802,115720.6552,,,0.62,152377.6523,140611.5,162300.6094,,,0.873810368,344204.3222,,,,,0.0145,310.4273987,310.4273987,310.4273987
0.568255493,283971.7465,0.505515667,283590.8735,0.985743803,146860.0635,,,0.731630193,96265.06274,0.978798243,115721.6909,,,0.63,159281.7891,157415.5313,162829.125,,,0.888110171,344204.3222,,,,,0.015,333.53302,333.53302,333.53302
0.575142795,284653.2269,0.518534869,290029.4652,1.001046041,146870.4203,,,0.743106872,96272.83037,0.991040682,116068.3862,,,0.64,158183.6133,155445.9688,162502.25,,,0.917696938,343418.4676,,,,,0.0155,8958.533203,8958.533203,8958.533203
0.584331906,288720.36,0.52542476,292064.5853,,,,,0.758409758,96621.59713,0.998691801,116073.5647,,,0.65,158630.25,156237.2813,162593.9063,,,0.936924801,345776.0314,,,,,0.016,8659.183594,8659.183594,8659.183594
0.591990145,292448.0475,0.528490386,294773.936,,,,,0.766825989,96627.29339,,,,,0.66,158992.1289,156326.4375,162382.5,,,0.945797635,348133.5953,,,,,0.0165,1822.062378,1822.062378,1822.062378
0.605001579,294825.7202,0.53385329,298500.0699,,,,,0.779067133,96297.16896,,,,,0.67,158547.625,154831.7031,162315.5,,,0.963546208,350491.1591,,,,,0.017,2583.607666,2583.607666,2583.607666
0.62030576,295851.3068,0.545339031,303245.5763,,,,,0.792074036,96305.97227,,,,,0.68,157866.5391,153917.2031,162416.7031,,,0.975872171,351669.9411,,,,,0.0175,344.4488525,344.4488525,344.4488525
0.635608646,296200.0735,0.552232806,307311.1559,,,,,0.798193637,95633.29519,,,,,0.69,154319.7461,139564.5469,162552.6719,,,0.98721194,352848.723,,,,,0.018,15173.13937,2064.151123,30256.54102
0.647853026,297561.9987,0.562952788,311717.7345,,,,,0.813499112,97335.7016,,,,,0.7,158094.6523,152800.5938,162949.1563,,,0.990663617,352848.723,,,,,0.0185,29814.07227,29814.07227,29814.07227
0.658564593,297569.2485,0.572907658,316123.7954,,,,,0.825742197,98020.8069,,,,,0.71,156564.5938,151654.6719,162800.6875,,,0.994607906,353241.6503,,,,,0.019,28084.6875,28084.6875,28084.6875
0.673866832,297579.6053,0.576738396,318833.6639,,,,,0.847929149,97359.0045,,,,,0.72,158741.3477,155961.0313,162805.375,,,,,,,,,0.0195,7995.137207,7995.137207,7995.137207
0.685341569,296572.1432,0.582859939,319176.2165,,,,,0.859403239,96013.13248,,,,,0.73,158647.1445,155834.0313,162811.25,,,,,,,,,0.02,16008.54004,16008.54004,16008.54004
0.691461817,296237.876,0.589745947,319180.8771,,,,,0.866288599,95679.38315,,,,,0.74,157231.2656,154237.1094,162027.125,,,,,,,,,0.0205,30947.63477,30947.63477,30947.63477
0.70447584,299969.1884,0.598927937,319525.5011,,,,,0.883888762,97044.93317,,,,,0.75,159289.2305,156962.7188,162808.9844,,,,,,,,,0.021,28737.50391,28737.50391,28737.50391
0.711365731,302004.3084,0.608880218,322577.9223,,,,,0.89613379,98745.26822,,,,,0.76,159852.5469,157861.5781,162536.0469,,,,,,,,,0.0215,14936.25963,1117.633789,29784.8418
0.719020087,303701.5364,0.616534574,324275.1503,,,,,0.904551963,99766.19422,,,,,0.77,159499.6953,157280.8125,162789.9531,,,,,,,,,0.022,843.1972046,843.1972046,843.1972046
0.726671206,303706.7149,0.624185693,324280.3287,,,,,0.916793754,99774.4797,,,,,0.78,159319.6055,157658.2188,162585.6406,,,,,,,,,0.0225,28919.16406,28919.16406,28919.16406
0.732786923,301003.5783,0.630309825,325976.521,,,,,0.930563827,98768.57112,,,,,0.79,159914.3281,156834.4063,163313.9063,,,,,,,,,0.023,570.020813,570.020813,570.020813
0.736611188,300329.3477,0.637964181,327673.749,,,,,0.939742581,97421.14557,,,,,0.8,159788.1758,158416.2813,163022.2656,,,,,,,,,0.0235,35112.38672,35112.38672,35112.38672
0.744259719,298980.8864,0.644854072,329708.8691,,,,,0.949687741,96751.05769,,,,,0.81,159366.6523,157071.7656,163089.0313,,,,,,,,,0.024,252.5122223,252.5122223,252.5122223
0.757264032,297636.0501,0.657862917,330732.9021,,,,,0.961929532,96759.34317,,,,,0.82,159902.0195,156767.5313,163008.75,,,,,,,,,0.0245,29982.58203,29982.58203,29982.58203
0.763384928,297640.1928,0.667045555,331415.9361,,,,,0.975704136,98122.30398,,,,,0.83,159376.1328,157724.4063,162990.1094,,,,,,,,,0.025,22325.82422,22325.82422,22325.82422
0.773333325,298662.1545,0.670871114,331418.5253,,,,,0.986415703,98129.55378,,,,,0.84,160044.7031,157828.0938,163161.875,,,,,,,,,0.0255,7685.2065,144.0631561,24033.5957
0.787874983,301040.8629,0.67851835,329393.2442,,,,,0.994829992,97120.0203,,,,,0.85,159546.1914,158040.9688,162804.5313,,,,,,,,,0.026,430.9489746,430.9489746,430.9489746
0.795528691,302399.681,0.680813038,329056.3878,,,,,,,,,,,0.86,160254.8594,158090.5938,163055.4688,,,,,,,,,0.0265,82.19593048,82.19593048,82.19593048
0.804712623,303759.5348,0.68998985,326693.7326,,,,,,,,,,,0.87,160384.6328,158737.875,163189.4688,,,,,,,,,0.027,1200.34021,1200.34021,1200.34021
0.820018099,305461.9412,0.69381541,326696.3218,,,,,,,,,,,0.88,159783.5508,157530.0938,162598.8438,,,,,,,,,0.0275,48.06533051,48.06533051,48.06533051
0.833790113,305471.2623,0.706057848,327043.0172,,,,,,,,,,,0.89,158682.1523,152866.5313,162703.7344,,,,,,,,,0.028,39.81834412,39.81834412,39.81834412
0.83914266,303782.8377,0.709884702,327722.4262,,,,,,,,,,,0.9,158336.5977,152468.7813,162783.1563,,,,,,,,,0.0285,71.16439056,71.16439056,71.16439056
0.842202461,303446.4991,0.716010129,330095.4383,,,,,,,,,,,0.91,156479.4141,149937.4375,161447.0938,,,,,,,,,0.029,79.26153564,79.26153564,79.26153564
0.849086526,302435.93,0.72213685,333145.2703,,,,,,,,,,,0.92,160656.9492,158858.8281,163069.1094,,,,,,,,,0.0295,10388.62068,746.3411865,33200.71094
0.85750211,302103.2163,0.728264219,336533.5122,,,,,,,,,,,0.93,156590.4531,151883.25,161798.6094,,,,,,,,,0.03,308.631073,308.631073,308.631073
0.863623653,302445.769,0.733625181,339244.4164,,,,,,,,,,,0.94,155174.793,143313.5625,161265.7813,,,,,,,,,0.0305,25.29065704,25.29065704,25.29065704
0.870511602,303465.6593,0.744339337,340605.3058,,,,,,,,,,,0.95,160952.582,158836.4063,162754.6719,,,,,,,,,0.031,134.2013245,134.2013245,134.2013245
0.877400846,305162.3694,0.759645459,342646.1221,,,,,,,,,,,0.96,160630.0938,159129.2656,162701.2188,,,,,,,,,0.0315,29.80404282,29.80404282,29.80404282
0.880461941,305502.8507,0.766537292,345696.4719,,,,,,,,,,,0.97,158116.7031,152087.3281,161437.4688,,,,,,,,,0.032,38.18717957,38.18717957,38.18717957
0.887349243,306184.3311,0.773428478,348408.4118,,,,,,,,,,,0.98,160496.8359,158107.2813,161971.25,,,,,,,,,0.0325,78.46875,78.46875,78.46875
0.900356146,306193.1344,0.779555199,351458.2438,,,,,,,,,,,0.99,159285.3047,157275.9063,161031.0938,,,,,,,,,0.033,7980.947902,33.68157959,19170.10547
0.914894567,306879.7933,0.783384643,353491.2925,,,,,,,,,,,1,158656.3516,155178.9688,161479.7813,,,,,,,,,0.0335,1359.91687,1359.91687,1359.91687
0.928670466,308919.5739,0.79103382,352481.2412,,,,,,,,,,,,,,,,,,,,,,,0.034,397.834259,397.834259,397.834259
0.939383975,309942.0535,0.797917238,351132.2621,,,,,,,,,,,,,,,,,,,,,,,0.0345,2356.683838,2356.683838,2356.683838
0.953157932,310966.6044,0.804037487,350797.9949,,,,,,,,,,,,,,,,,,,,,,,0.035,565.9230347,565.9230347,565.9230347
0.961572221,309957.0709,0.812453718,350803.6912,,,,,,,,,,,,,,,,,,,,,,,0.0355,493.620636,493.620636,493.620636
0.97074968,307932.8255,0.820873186,352501.437,,,,,,,,,,,,,,,,,,,,,,,0.036,1353.674316,1353.674316,1353.674316
0.979162028,305908.0623,0.832352454,353862.8443,,,,,,,,,,,,,,,,,,,,,,,0.0365,115.5549011,115.5549011,115.5549011
0.989108483,305914.7942,0.836179955,354880.6633,,,,,,,,,,,,,,,,,,,,,,,0.037,8618.603638,752.6525879,21072.66797
0.994465561,306595.239,0.843069199,356577.3734,,,,,,,,,,,,,,,,,,,,,,,0.0375,53.69290543,53.69290543,53.69290543
1.000587104,306937.7916,0.856843803,357940.3342,,,,,,,,,,,,,,,,,,,,,,,0.038,937.3762207,937.3762207,937.3762207
,,0.863730458,358283.4047,,,,,,,,,,,,,,,,,,,,,,,0.0385,13.02743053,13.02743053,13.02743053
,,0.87368015,359982.1862,,,,,,,,,,,,,,,,,,,,,,,0.039,51.35609818,51.35609818,51.35609818
,,0.885158123,360666.7737,,,,,,,,,,,,,,,,,,,,,,,0.0395,1587.145874,1587.145874,1587.145874
,,0.895103931,360335.0957,,,,,,,,,,,,,,,,,,,,,,,0.04,73.50035858,73.50035858,73.50035858
,,0.903521457,361017.6118,,,,,,,,,,,,,,,,,,,,,,,0.0405,1817.755371,1817.755371,1817.755371
,,0.915768426,363733.1766,,,,,,,,,,,,,,,,,,,,,,,0.041,14276.36007,4205.288574,25804.82617
