SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0205,61.24329673,0.0205,33.78725703,0.463243243,73.30909091,0.759459459,81.06666667,0.11976,58.148064,0.3076,34.72088623,0.41,81.19749451
0.021,34.07832033,0.021,42.26590698,0.474594595,72.72727273,0.77027027,82.23030303,0.122754,61.50853,0.31529,1.596588969,0.42,84.54055786
0.0215,23.65403755,0.0215,48.52393042,0.495135135,77.57575758,0.775135135,81.26060606,0.125748,92.50041,0.32298,20.50297356,0.43,90.13618469
0.022,43.21587857,0.022,41.14283562,0.507027027,78.93333333,0.804324324,84.16969697,0.128742,69.54344,0.33067,-4.248711109,0.44,91.39543915
0.0225,20.01259183,0.0225,44.28868093,0.525405405,77.18787879,0.816216216,83.2,0.131736,55.719597,0.33836,-0.445612013,0.45,93.66529846
0.023,6.835104057,0.023,56.97841486,0.537837838,76.41212121,0.824324324,82.81212121,0.13473,76.124596,0.34605,6.955005169,0.46,99.92008972
0.0235,24.49589411,0.0235,58.46544565,0.545945946,78.15757576,0.841621622,82.81212121,0.137724,95.737465,0.35374,1.510846972,0.47,81.47283936
0.024,50.48663291,0.024,78.22941222,0.561621622,80.48484848,0.844324324,84.75151515,0.140718,71.96935,0.36143,8.073355675,0.48,87.35668182
0.0245,37.32450327,0.0245,62.66286473,0.573513514,79.32121212,0.845945946,84.94545455,0.143712,55.233852,0.36912,-6.195750237,0.49,94.58778381
0.025,15.53531898,0.025,47.22270475,0.587567568,80.0969697,0.855135135,82.42424242,0.146706,75.60905,0.37681,-3.666414976,0.5,88.68251038
0.0255,34.74670039,0.0255,33.15531901,0.624324324,85.13939394,0.857297297,82.42424242,0.1497,102.67557,0.3845,-7.267282963,0.51,97.04336548
0.026,41.87188049,0.026,32.57662309,0.631351351,83.39393939,0.872972973,83.78181818,0.152694,49.289413,0.39219,-16.58725548,0.52,99.37314606
0.0265,66.1078828,0.0265,40.70171938,0.64972973,86.88484848,0.887567568,85.52727273,0.155688,88.002525,0.39988,-0.845107019,0.53,85.80715942
0.027,26.55419739,0.027,35.87017822,0.662162162,88.82424242,0.902162162,86.88484848,0.158682,81.7622,0.40757,-26.35449409,0.54,97.7327652
0.0275,49.78561964,0.0275,38.27485388,0.683783784,88.24242424,0.915675676,86.3030303,0.161676,72.93704,0.41526,-12.02298832,0.55,89.10142517
0.028,50.70518124,0.028,39.73918204,0.716216216,90.56969697,0.918918919,86.10909091,0.16467,65.08607,0.42295,-8.895095825,0.56,89.61038971
0.0285,11.9364287,0.0285,34.92778649,0.725405405,91.34545455,0.924864865,85.91515152,0.167664,105.163795,0.43064,19.95339394,0.57,94.37339783
0.029,20.43107244,0.029,39.10225371,0.74,89.21212121,0.942702703,86.69090909,0.170658,44.633087,0.43833,-13.9265976,0.58,97.24269867
0.0295,-6.772123207,0.0295,38.97604623,0.74972973,90.56969697,0.948648649,86.88484848,0.173652,43.02781,0.44602,-21.13585281,0.59,98.98165131
0.03,20.30093218,0.03,38.44392418,0.757297297,91.15151515,0.961621622,85.91515152,0.176646,84.46827,0.45371,-18.01196289,0.6,87.43105316
