SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0195,3868.187914,0.0195,1963.09562,0.168683348,8107.116672,0.183530105,7905.703321,0.182921876,5204.082243,0.542783505,12066.39004,0.460886571,9802.863875
0.02,3844.625649,0.02,1811.228757,0.173127072,8255.025861,0.191679036,8134.307474,0.187360282,5459.518243,0.558762887,12132.78008,0.465449804,9749.567142
0.0205,3818.301685,0.0205,1471.685553,0.176828291,8416.365931,0.196124089,8255.334961,0.190318333,5647.730045,0.580412371,12199.17012,0.470013038,9728.219291
0.021,3855.772985,0.021,1972.314213,0.182015849,8523.962538,0.199827968,8362.911626,0.192533215,5862.813578,0.606701031,12381.74274,0.482398957,9855.882912
0.0215,3288.623283,0.0215,1309.485355,0.183496868,8577.745885,0.205758694,8443.636501,0.19697428,6064.486173,0.622164948,12547.71784,0.490873533,9855.792661
0.022,3497.99356,0.022,1409.383596,0.190165445,8739.125839,0.210205076,8537.782286,0.199191821,6225.806302,0.643298969,12780.08299,0.509126467,9940.795293
0.0225,4020.618868,0.0225,1962.562682,0.196094841,8846.732417,0.217620145,8605.086252,0.202891711,6414.028074,0.664948454,12730.29046,0.518252934,10047.19437
0.023,4082.923537,0.023,2456.641736,0.202765412,8967.789818,0.221328012,8632.017809,0.209551646,6750.139095,0.682474227,12730.29046,0.525423729,9961.920987
0.0235,3992.836406,0.0235,2734.043638,0.210176493,9115.738891,0.226518228,8685.851011,0.213990052,7005.575095,0.7,12796.6805,0.549543677,9993.613001
0.024,3868.70475,0.024,2360.491034,0.216108548,9169.582064,0.236154826,8833.829998,0.219910806,7287.912739,0.754123711,13078.83817,0.55410691,9993.564404
0.0245,4066.911342,0.0245,2061.318381,0.220552271,9317.491254,0.240603203,8887.653229,0.225831561,7570.250384,0.76443299,13045.64315,0.569100391,10131.84988
0.025,4266.990362,0.025,2767.126318,0.226483662,9384.775278,0.254688178,9089.455446,0.229529457,7798.794711,0.795360825,12912.86307,0.58083442,10206.27231
0.0255,3967.02956,0.0255,2833.737068,0.231673213,9452.049331,0.262841098,9237.414491,0.236933226,8094.593148,0.808247423,12962.6556,0.590612777,10110.32153
0.026,4251.13915,0.026,3398.110466,0.239086953,9546.235,0.270994018,9385.373535,0.24063644,8215.610665,0.836597938,13029.04564,0.606258149,10280.54895
0.0265,4245.175234,0.0265,3220.171779,0.247244526,9600.108085,0.280631281,9519.911671,0.246561183,8417.303202,0.870618557,13095.43568,0.609517601,10248.56535
0.027,4285.379654,0.027,3001.655117,0.256883783,9694.323667,0.285821497,9573.744872,0.257669495,8807.237453,0.886082474,13145.22822,0.62125163,10205.84188
0.0275,4278.962112,0.0275,3316.423878,0.265041356,9748.196752,0.299909796,9708.342833,0.263592908,9035.811692,0.925257732,13294.60581,0.638200782,10365.40579
0.028,4367.34245,0.028,3554.93166,0.276164292,9842.432276,0.310290228,9816.009237,0.27174051,9291.297547,0.944329897,13360.99585,0.64797914,10333.35277
0.0285,4356.338472,0.0285,4064.638546,0.288028403,9950.118621,0.317704632,9896.754054,0.278408422,9466.118353,0.962371134,13311.20332,0.674706649,10535.41105
0.029,4336.859666,0.029,3152.879204,0.294702297,10003.97176,0.325119701,9964.05802,0.28285414,9573.704989,0.97371134,13294.60581,0.679269883,10535.36246
0.0295,4112.841045,0.0295,3500.094207,0.303601709,10057.85482,0.332535435,10017.92114,0.288037709,9761.946703,0.993298969,13344.39834,0.685136897,10545.9496
0.03,4358.725549,0.03,3804.015235,0.318433177,10165.58105,0.342177351,10058.37331,0.293965776,9896.434984,0.999484536,13377.59336,0.687744459,10513.97295
0.0305,4393.278743,0.0305,4195.6403,0.327332589,10219.46411,0.352560442,10112.27631,0.307304258,10192.31319,,,0.704693611,10652.2376
0.031,4214.800683,0.031,3766.611852,0.33771568,10273.36711,0.369616763,10233.4733,0.317679373,10407.5064,,,0.712516297,10577.6069
