SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0195,498.3582066,0.0195,370.5595477,0.266075388,4806.25543,0.239467849,5098.1755,0.461197339,8048.653345,0.284113154,7099.260432,0.42299315,5053.071783
0.02,539.3329975,0.02,330.154455,0.269031781,4931.364031,0.248337029,5223.284101,0.476718404,8205.039096,0.28689316,7303.904906,0.430196826,5053.038617
0.0205,327.8644883,0.0205,326.1097502,0.271988174,5025.195482,0.257206208,5264.986968,0.492239468,8257.16768,0.295248195,7724.472885,0.446585701,4988.50644
0.021,452.3402707,0.021,554.024679,0.274205469,5056.472632,0.260162602,5275.412685,0.509238729,8434.404865,0.301747243,8042.734529,0.468837136,5043.652612
0.0215,370.2504913,0.0215,393.4553577,0.279379157,5056.472632,0.273466371,5327.541268,0.519586105,8559.513467,0.308247174,8349.621735,0.476048049,5015.995103
0.022,373.4745042,0.022,471.1997873,0.285291944,5181.581234,0.277900961,5337.966985,0.535846268,8715.899218,0.321730688,8735.891492,0.502882435,5075.724227
0.0225,365.903986,0.0225,313.6306396,0.292682927,5306.689835,0.283813747,5337.966985,0.549150037,8851.433536,0.327317202,8803.947308,0.519928602,5001.98092
0.023,401.5388218,0.023,349.8762356,0.299334812,5431.798436,0.292682927,5327.541268,0.580192166,8966.116421,0.336633357,8849.127041,0.54218245,5047.918978
0.0235,598.1534702,0.0235,355.7754073,0.303030303,5473.501303,0.3045085,5483.92702,0.593495935,9007.819288,0.34875072,8825.964742,0.579522649,5001.706546
0.024,299.6035337,0.024,460.1928977,0.307464893,5588.184188,0.311160384,5546.481321,0.606060606,9091.225022,0.358542577,8746.00976,0.593921559,5033.868614
0.0245,815.2929393,0.0245,358.0588821,0.310421286,5650.738488,0.325203252,5702.867072,0.619364375,9195.482189,0.37205966,8700.050883,0.614866853,5075.208645
0.025,352.8029071,0.025,303.5423754,0.316334072,5671.589922,0.332594235,5807.12424,0.628972653,9226.75934,0.386047144,8597.203917,0.624684018,5098.183704
0.0255,527.0572008,0.0255,360.9877648,0.316334072,5723.718506,0.347376201,5994.787142,0.643754619,9393.570808,0.402346883,8721.7662,0.634515654,5065.910078
0.026,981.3288578,0.026,450.5664436,0.319290466,5786.272806,0.36067997,6088.618593,0.652623799,9487.402259,0.432607605,9084.71465,0.662668243,5093.404771
0.0265,253.9517118,0.0265,541.1298399,0.321507761,5869.67854,0.371766445,6140.747176,0.662232077,9508.253692,0.434934877,9118.758458,0.673808433,5065.729172
0.027,464.4030005,0.027,282.6333066,0.323725055,5932.232841,0.382852919,6213.727194,0.67405765,9664.639444,0.442847779,9232.232521,0.703293695,5005.74075
0.0275,538.4684736,0.0275,379.6008057,0.32594235,5994.787142,0.398373984,6213.727194,0.684405026,9727.193745,0.455873259,9516.148239,0.724904723,5005.641251
0.028,420.169252,0.028,374.2584008,0.329637842,6140.747176,0.410938655,6286.707211,0.697708795,9789.748045,0.4591325,9550.160246,0.753704954,5060.757272
0.0285,467.7228969,0.0285,239.9526366,0.336289727,6286.707211,0.422025129,6370.112945,0.705838877,9914.856646,0.472636332,9674.817935,0.760253751,5060.727121
0.029,831.9591192,0.029,707.2901103,0.342941611,6245.004344,0.432372506,6474.370113,0.710273466,9956.559513,0.497327325,9753.596252,0.764845144,5033.081673
0.0295,243.6363363,0.0295,335.8486967,0.348115299,6245.004344,0.444937177,6557.775847,0.725055432,10165.07385,0.516429154,9798.442066,0.78970645,5125.048242
0.03,761.7181351,0.03,442.4623702,0.350332594,6286.707211,0.454545455,6578.627281,0.747228381,10394.43962,0.545780875,9865.686936,0.801495489,5120.389913
0.0305,339.0738398,0.0305,465.5226925,0.353288987,6307.558645,0.472283814,6630.755864,0.754619364,10488.27107,0.588639078,10023.46618,0.815253992,5097.30631
0.031,490.3186795,0.031,483.8142839,0.356245381,6359.687228,0.481892092,6682.884448,0.770879527,10519.54822,0.621717791,10101.95828,0.83293936,5083.412731
0.0315,394.76125,0.0315,517.8511555,0.36067997,6432.667246,0.494456763,6766.290182,0.785661493,10498.69679,0.646874768,10180.7207,0.848645617,5124.776883
0.032,377.7120223,0.032,512.9911669,0.361419069,6495.221546,0.512195122,6839.2702,0.799704361,10394.43962,0.682286054,10225.00998,0.868277534,5179.935115
0.0325,467.8754896,0.0325,821.5221446,0.36511456,6568.201564,0.523281596,6870.54735,0.823355506,10311.03388,0.740529694,10279.89456,0.889232476,5184.442689
0.033,347.4523899,0.033,657.797254,0.372505543,6557.775847,0.532889874,6901.8245,0.84331116,10311.03388,0.754040593,10313.55675,0.908878865,5184.352236
0.0335,385.4049439,0.0335,557.3440934,0.376940133,6536.924414,0.541019956,6839.2702,0.861788618,10425.71677,0.811816483,10391.2061,0.953403444,5211.771552
0.034,350.691071,0.034,370.8949684,0.379896526,6536.924414,0.549889135,6776.715899,0.87804878,10540.39965,0.846765317,10390.01353,0.970430315,5211.693159
0.0345,276.97289,0.0345,524.2767549,0.388765706,6735.013032,0.557280118,6724.587315,0.897265336,10665.50825,0.861210835,10389.52061,0.995971827,5206.971513
0.035,591.0803518,0.035,432.3094647,0.383592018,6672.458732,0.569844789,6724.587315,0.915003695,10738.48827,0.890565206,10422.64216,,
0.0355,326.1992022,0.0355,591.2009899,0.392461197,6839.2702,0.579453067,6766.290182,0.93052476,10832.31972,0.918518973,10489.93474,,
0.036,470.5229731,0.036,415.5956179,0.393939394,6891.398784,0.59127864,6870.54735,0.949002217,10874.02259,0.947872461,10534.43073,,
0.0365,571.8734612,0.0365,718.6588128,0.399113082,6995.655951,0.600886918,7016.507385,0.96969697,11019.98262,0.970703932,10556.40046,,
0.037,375.846203,0.037,1131.598735,0.402069475,7037.358818,0.611973392,7047.784535,0.984478936,11103.38836,0.984213065,10612.81152,,
0.0375,374.3979421,0.0375,554.1928225,0.407982262,7152.041703,0.624538064,7110.338836,0.997043607,11103.38836,0.993997855,10623.85204,,
0.038,417.762235,0.038,681.5695196,0.410199557,7214.596003,0.637102735,7152.041703,,,0.999121034,10657.80045,,
0.0385,497.9299938,0.0385,709.8456583,0.41315595,7266.724587,0.649667406,7214.596003,,,,,,
0.039,591.6561614,0.039,823.2385501,0.419807834,7245.873154,0.659275684,7266.724587,,,,,,
0.0395,973.8409912,0.0395,966.732276,0.422764228,7225.02172,0.667405765,7318.853171,,,,,,
0.04,339.1578639,0.04,399.7191287,0.432372506,7193.74457,0.676274945,7402.258905,,,,,,
0.0405,325.5744219,0.0405,812.6529192,0.433111604,7193.74457,0.688839616,7433.536056,,,,,,
0.041,519.9831777,0.041,506.8918145,0.440502587,7308.427454,0.697708795,7402.258905,,,,,,
0.0415,381.2661209,0.0415,815.2277202,0.446415373,7266.724587,0.715447154,7402.258905,,,,,,
0.042,449.4242987,0.042,791.1723675,0.453067258,7183.318853,0.722838137,7402.258905,,,,,,
0.0425,320.9047075,0.0425,369.0853854,0.453806356,7183.318853,0.733924612,7454.387489,,,,,,
0.043,429.5599775,0.043,259.8609721,0.459719143,7266.724587,0.746489283,7537.793223,,,,,,
0.0435,633.366117,0.0435,599.7617438,0.465631929,7360.556038,0.756836659,7569.070374,,,,,,
0.044,938.052707,0.044,406.0255307,0.466371027,7506.516073,0.767184035,7579.49609,,,,,,
0.0445,770.5437851,0.0445,744.6584715,0.466371027,7621.198957,0.776792313,7642.050391,,,,,,
0.045,361.8490717,0.045,378.7834396,0.467849224,7683.753258,0.785661493,7642.050391,,,,,,
0.0455,282.6966996,0.0455,453.6339057,0.471544715,7808.861859,0.791574279,7642.050391,,,,,,
0.046,641.6561327,0.046,877.4203004,0.473022912,7954.821894,0.80413895,7704.604692,,,,,,
0.0465,241.7291089,0.0465,815.3101848,0.477457502,8048.653345,0.816703622,7746.307559,,,,,,
0.047,1037.867411,0.047,517.3191442,0.484109387,8100.781929,0.830746489,7808.861859,,,,,,
0.0475,483.568382,0.0475,1059.630468,0.488543976,8173.761946,0.841093865,7788.010426,,,,,,
0.048,1376.691287,0.048,438.4047231,0.496674058,8288.444831,0.851441242,7746.307559,,,,,,
0.0485,584.6051351,0.0485,1463.296824,0.498891353,8194.61338,0.854397635,7725.456125,,,,,,
0.049,553.7125218,0.049,427.8219865,0.501847746,8132.059079,0.863266814,7704.604692,,,,,,
0.0495,282.4953403,0.0495,902.299704,0.503325942,8079.930495,0.872875092,7725.456125,,,,,,
0.05,643.9517856,0.05,519.8365627,0.507021434,7965.247611,0.885439763,7767.158992,,,,,,
0.0505,819.880711,0.0505,487.6424732,0.510716925,7913.119027,0.894308943,7850.564726,,,,,,
0.051,347.5708691,0.051,449.6644053,0.516629712,7756.733275,0.904656319,7954.821894,,,,,,
0.0515,791.2620391,0.0515,554.103832,0.524020695,7756.733275,0.917960089,8027.801911,,,,,,
0.052,663.3313703,0.052,740.6660216,0.52623799,7683.753258,0.932002956,8059.079062,,,,,,
0.0525,386.7063437,0.0525,338.3853188,0.533628973,7621.198957,0.937176644,8048.653345,,,,,,
0.053,370.3374263,0.053,467.6522305,0.536585366,7569.070374,0.950480414,8038.227628,,,,,,
0.0535,718.8227793,0.0535,458.687427,0.543976349,7600.347524,0.962305987,8079.930495,,,,,,
0.054,697.4979667,0.054,497.2786831,0.548410939,7746.307559,0.968218773,8100.781929,,,,,,
0.0545,523.2691748,0.0545,1234.075632,0.555062823,7871.41616,0.977087953,8121.633362,,,,,,
0.055,375.7180013,0.055,340.6027811,0.558758315,7965.247611,0.987435329,8152.910513,,,,,,
0.0555,477.914917,0.0555,717.1601856,0.5654102,8048.653345,0.993348115,8132.059079,,,,,,
0.056,1433.161039,0.056,565.3223087,0.571322986,8173.761946,0.994826312,8132.059079,,,,,,
0.0565,598.2341528,0.0565,523.7244724,0.577974871,8309.296264,0.998521803,8163.336229,,,,,,
0.057,349.1740015,0.057,1231.169393,0.583148559,8455.256299,,,,,,,,
0.0575,732.302257,0.0575,476.5621565,0.590539542,8580.3649,,,,,,,,
0.058,736.8694864,0.058,471.5634824,0.597191426,8695.047785,,,,,,,,
0.0585,462.464822,0.0585,355.8183284,0.609016999,8830.582103,,,,,,,,
0.059,1226.410313,0.059,535.004159,0.616407982,8913.987837,,,,,,,,
0.0595,876.0485588,0.0595,1049.309721,0.628233555,8913.987837,,,,,,,,
0.06,1370.355754,0.06,777.1521474,0.636363636,8861.859253,,,,,,,,
0.0605,1405.659673,0.0605,477.0543141,0.640059128,8642.919201,,,,,,,,
0.061,426.2233509,0.061,351.3882066,0.645971914,8559.513467,,,,,,,,
0.0615,635.0905288,0.0615,1726.349386,0.65631929,8486.533449,,,,,,,,
0.062,3158.489643,0.062,868.2256374,0.662232077,8434.404865,,,,,,,,
0.0625,808.181468,0.0625,351.6859674,0.668144863,8361.424848,,,,,,,,
0.063,737.870611,0.063,1400.781393,0.67405765,8330.147698,,,,,,,,
0.0635,863.8787686,0.0635,500.3694505,0.679231338,8371.850565,,,,,,,,
0.064,792.2129845,0.064,799.3204041,0.682187731,8507.384883,,,,,,,,
0.0645,458.0973312,0.0645,1445.84003,0.686622321,8611.64205,,,,,,,,
0.065,1420.750674,0.065,776.4552946,0.693274205,8768.027802,,,,,,,,
0.0655,2430.933446,0.0655,858.4849027,0.703621582,8757.602085,,,,,,,,
0.066,397.960175,0.066,2019.693739,0.70879527,8757.602085,,,,,,,,
0.0665,1587.527743,0.0665,1168.135205,0.713968958,8861.859253,,,,,,,,
0.067,2340.952231,0.067,515.810412,0.719881744,8966.116421,,,,,,,,
0.0675,1633.508955,0.0675,2530.455466,0.728011826,9101.650738,,,,,,,,
0.068,1005.959878,0.068,1917.695597,0.736141907,9028.670721,,,,,,,,
0.0685,467.0947142,0.0685,273.0144296,0.738359202,9018.245004,,,,,,,,
0.069,374.0311035,0.069,857.2813971,0.742793792,9122.502172,,,,,,,,
0.0695,2932.625124,0.0695,474.4423128,0.750923873,9185.056473,,,,,,,,
0.07,1157.221292,0.07,742.0960226,0.761271249,9268.462207,,,,,,,,
0.0705,727.797324,0.0705,507.7446752,0.76940133,9289.31364,,,,,,,,
0.071,891.8406862,0.071,1379.368531,0.776792313,9383.145091,,,,,,,,
0.0715,2109.27496,0.0715,998.2827027,0.784922395,9299.739357,,,,,,,,
0.072,1077.860692,0.072,229.6253882,0.794530673,9268.462207,,,,,,,,
0.0725,1050.34981,0.0725,393.5795592,0.799704361,9278.887924,,,,,,,,
0.073,5743.50907,0.073,452.4202319,0.804878049,9435.273675,,,,,,,,
0.0735,1543.158112,0.0735,585.9360788,0.812269032,9393.570808,,,,,,,,
